No	Form	Gloss	Witnesses paper/ACD	URL
182	*ŋarab	blade, cutting edge of knife, etc.	5/6	https://acd.clld.org/cognatesets/33743
203	*pugus	short-haired	3/3	https://acd.clld.org/cognatesets/34046
204	*púkan	to fell a tree, cut down bamboo	8/11	https://acd.clld.org/cognatesets/33912
206	*puŋan	pillow (headrest)	12/18	https://acd.clld.org/cognatesets/32613
207	*puŋus	to wrap, tie up or tie together	5/5	https://acd.clld.org/cognatesets/33914
208	*pus(e)lít	to slip through or out, get away from	9/9	https://acd.clld.org/cognatesets/34054
212	*qalibun	a plant with medicinal value, probably __it__Blumea__/it__ spp.	2/2	https://acd.clld.org/cognatesets/33801
213	*qalibuŋbuŋ	to encircle, surround something	5/5	https://acd.clld.org/cognatesets/33802
220	*rab(e)nút	to grab and pull	5/8	https://acd.clld.org/cognatesets/33880
221	*rabuŋ	luxuriant growth (as of weeds)	2/2	https://acd.clld.org/cognatesets/33904
225	*ráwis	a long slender point, as of land jutting into the sea	7/7	https://acd.clld.org/cognatesets/33884
226	*rebreb	to put under water, soak	4/4	https://acd.clld.org/cognatesets/34065
228	*ribuk	noise, tumult, turmoil, confusion	4/5	https://acd.clld.org/cognatesets/33886
245	*salúkub	cover something to protect it, or oneself	3/4	https://acd.clld.org/cognatesets/33851
246	*saŋ(e)lád	to run aground, be beached, of a boat	5/9	https://acd.clld.org/cognatesets/33848
253	*sárut	to waste away from illness	9/9	https://acd.clld.org/cognatesets/33888
260	*sel(e)daŋ	to shine, be bright	2/7	https://acd.clld.org/cognatesets/33702
261	*sikil	contend with others, compete for something	4/4	https://acd.clld.org/cognatesets/33990
264	*sipet	to consume totally, use up	3/2	https://acd.clld.org/cognatesets/33965
266	*sub(e)laR	to bypass, miss contact with another person	2/2	https://acd.clld.org/cognatesets/33869
269	*suŋáw	to evaporate, as vapor rising from the ground after rain	4/3	https://acd.clld.org/cognatesets/33991
270	*tadék	hand movements in dance(?)	13/6	https://acd.clld.org/cognatesets/33628
273	*taka	tired of, no longer interested in; lazy	5/5	https://acd.clld.org/cognatesets/32190
274	*takéd	to bind or tie, as with rattan	7/10	https://acd.clld.org/cognatesets/32164
280	*tantán	to exercise patience in acting	10/10	https://acd.clld.org/cognatesets/32143
284	*taray	to run	3/5	https://acd.clld.org/cognatesets/34048
287	*tarús	to understand, grasp something intellectually	6/8	https://acd.clld.org/cognatesets/34055
299	*tustús	crisp, of fried food	2/5	https://acd.clld.org/cognatesets/32186
301	*udip	to mend, as mats, baskets, etc.	4/7	https://acd.clld.org/cognatesets/33504
303	*umaw	mute, dumb	4/4	https://acd.clld.org/cognatesets/34014
304	*úŋut	coconut shell drinking cup or dipper	11/12	https://acd.clld.org/cognatesets/34066
309	*wadwad	to display, put in clear view	2/3	https://acd.clld.org/cognatesets/33640
312	*yadyád	to grate or shred foodstuffs	4/6	https://acd.clld.org/cognatesets/33918
313	*yakál	the Philippine mahogony: __it__Shorea__/it__ or __it__Hopea__/it__ sp.	6/6	https://acd.clld.org/cognatesets/33921
314	*yamyám	to talk excessively, or in a rapid, meaningless stream	6/7	https://acd.clld.org/cognatesets/33922
315	*yawyaw	move the mouth in eating	5/5	https://acd.clld.org/cognatesets/33924
319	*yukús	to stoop, bend down	3/3	https://acd.clld.org/cognatesets/33930
