EID	CID	Language	Form
27904	246-dcce4b5d4e9701e50983ba48bb5eddf6-1-1	Bontok	ʔúsat
26314	414-7e25b972e192b01004b62346ee9975a5-1-1	Sika	aniŋ
26294	423-4f0959d4f83b25c7ee31b1029a5d8cbc-1-1	Tagalog	hagpós
33420	282-d18a8ac759e78345df741817696a402d-1-1	Itbayaten	ahwaw
26333	418-6ed486dd45b5479e3b32bbc9d779cdee-1-1	Sundanese	hɨɨh
26343	276-80282c84ea3d48a711c89b53990f3937-1-1	Iban	diau
26343	326-3cfa9afc31a63fe32300bc00346da79a-1-1	Malay	diam
26343	791-d5025cbd33f5926b8c40996b16769ee4-1-1	Malay_(Java)	diem
26344	244-bafd12e941a8959a95668899a2397028-1-1	Bikol	higdáʔ
26344	252-d97df9f4307662b91bd2d13153ea39e0-1-1	Cebuano	higdáʔ
26361	252-f557cec3c28a5eee1cde70394c4e3b9c-1-1	Cebuano	hipʔút
26362	18577-c04ad2fa1490115e79b61de8c298ef5a-1-1	Ngaju_Dayak	haris
26389	279-6f1d3d250c8ee09e99d0a407d91c40ec-1-1	Ilokano	úŋor
26389	636-5549296948123d95c1002f804079a431-1-1	Ifugaw	úŋul
26389	920-bd6cbb25d361fc668af1498b914c2b7f-1-1	Pangasinan	oŋól
30230	936-dfc5796bf621b6d8102a743d7ac398e9-1-1	Popalia	laro
33817	569-9dba5088268cea354c5d931eec1c3896-1-1	Casiguran_Dumagat	dahíl
33817	423-16d2a5842e2c2cebb4f25bdf5173ef4d-2-1	Tagalog	dáhil
33817	226-cc70865f1ecd933ec055851deb5bd69a-1-1	Aklanon	dáhil
33817	660-8be1632c594aed7081845d158c12ee9d-1-1	Old_Javanese	d&lt;um&gt;alih
25961	236-5ab3c9fe2c95a776142db9528c371ab3-1-1	Bare'e	lari
25963	328-b9abae541b4feced24227b5e08f49dd0-1-1	Manam	ma-lazi
30287	914-6b157916b43b09df5a22f658ccb92b64-1-1	Paku	iraʔ
25970	19319-974733ad2d7dbb450f84197d4c3f0147-1-1	Galoli	rea
25970	19713-852488ddd9570bc877783bf4397563e0-1-1	Talur	rea
30692	18004-f1ef1cfc5ce036837a9c91136dce6f0a-1-1	'Āre'āre	noro-a
30517	282-75bd7d7aee9106bbf97f09ffd9b9f406-1-1	Itbayaten	hadpa (&lt;adpah)
26012	819-6853a4d35fd496d8663f95ac2ed4a2ea-1-1	Manobo_(Western_Bukidnon)	dumpel
26009	816-5811d7262edb39517e9ceeb0150c1a05-1-1	Manggarai	redoŋ
30254	326-c7c6934c05c80007a508aa6c956dc1e7-1-1	Malay	lidah
30558	246-7512f7858fca4a96b1b482756a77f91d-1-1	Bontok	du-d&lt;ʔ&gt;uwa
30558	246-af995aae5e101b9dd914024766e17690-1-1	Bontok	du-d&lt;ʔ&gt;uwa
30558	246-7512f7858fca4a96b1b482756a77f91d-1-1	Bontok	du-d&lt;ʔ&gt;uwa
30558	246-af995aae5e101b9dd914024766e17690-1-1	Bontok	du-d&lt;ʔ&gt;uwa
31143	246-5aebc3237a0f99b5f7086188c2cc2849-1-1	Bontok	dáyun
31143	636-bac60b631c8ba9307fb5d4c8be25c027-1-1	Ifugaw	dáyun
31143	18225-7ecb2859dc2e14f07e5b75d6688b23f9-1-1	Ifugaw_(Batad)	dāyun
28719	282-b700e4c50a8346cddf4fb0fa3b235089-1-1	Itbayaten	ari-dawaŋ
28726	481-63a9f0ea7bb98050796b649e85481845-1-1	Araki	xuari
28726	897-63a9f0ea7bb98050796b649e85481845-1-1	Ngwatua	kakwari
28726	1103-63a9f0ea7bb98050796b649e85481845-1-1	Vitu	voraka
31383	370-68942315e3017b8488863fabc507b9c4-1-1	Paiwan	-navalʸ
31383	415-03724badcdcfeff39f2eef6b93a63a87-1-1	Simalur	a-nawan
31383	370-d4a40f43ecffe99545ee3785e21ba4b8-1-1	Paiwan	ka-navalʸ
31383	235-e69d0fdbb9b24128373b9a88ceb72516-1-1	Balinese	ka-nawan
28743	819-a77b51765620b8b0c50236e9ea8907ab-1-1	Manobo_(Western_Bukidnon)	gawed
28743	418-7170097469b99c40fa90b6d79ed7eca0-1-1	Sundanese	arɨy
28743	263-fc5b22eacd42daffeb5f58784fcd98c1-1-1	Erai	asar
28006	18147-71618153fa950b68ebfcb8b6b67c0fe6-1-1	Dairi-Pakpak_Batak	erjak
28200	247-f5405ccda3458fb6fbe225385ddcc9f4-1-1	Palawan_Batak	ʔuip-an
28274	250-07beaf7cc7ca96e1b68aeed689cffe55-1-1	Bunun	is-
28224	19198-83e4a96aed96436c621b9809e258b309-1-1	Bunun_(Takbanuad)	iskan
28226	405-98e8e729707faaf988ef400dcc7b0eb2-1-1	Hawu	ĕki
30002	1062-4c17856f84fa4246445fcc7f8a5aabe0-1-1	Thao	shupilh
31161	985-c785e1ed2950e3e36b1e2ca01f299a54-1-1	Sangil	siaw
31161	19089-c785e1ed2950e3e36b1e2ca01f299a54-1-1	Proto-Sangiric	*siaw
31161	402-c785e1ed2950e3e36b1e2ca01f299a54-1-1	Sangir	sio
31161	520-c785e1ed2950e3e36b1e2ca01f299a54-1-1	Bantik	siow
31161	19080-c785e1ed2950e3e36b1e2ca01f299a54-1-1	Proto-Minahasan	*siow
31161	1077-c785e1ed2950e3e36b1e2ca01f299a54-1-1	Tondano	siow
31161	19052-c785e1ed2950e3e36b1e2ca01f299a54-1-1	Tontemboan	siow
31161	245-c785e1ed2950e3e36b1e2ca01f299a54-1-1	Mongondow	siow
31161	1084-c785e1ed2950e3e36b1e2ca01f299a54-1-1	Totoli	sio
31161	929-c785e1ed2950e3e36b1e2ca01f299a54-1-1	Pendau	se-sio
31161	18954-c785e1ed2950e3e36b1e2ca01f299a54-1-1	Dampelas	se-sio
31161	19201-c785e1ed2950e3e36b1e2ca01f299a54-1-1	Balaesang	se-sio
31161	238-c785e1ed2950e3e36b1e2ca01f299a54-1-1	Banggai	sio
31161	19170-c785e1ed2950e3e36b1e2ca01f299a54-1-1	Uma	sio
31161	236-c785e1ed2950e3e36b1e2ca01f299a54-1-1	Bare'e	sio
31161	19187-ca614a5527513b57cd797610d19ad276-1-1	Proto-Bungku-Tolaki	*sio
31161	1124-c785e1ed2950e3e36b1e2ca01f299a54-1-1	Wolio	sio
31161	245-ed971f9f1ea92b0116c4a4c38d9e522c-1-1	Mongondow	in-siow
31161	245-ed971f9f1ea92b0116c4a4c38d9e522c-1-2	Mongondow	in-siow
28335	236-9835c5d230c7859e274602d42de30142-1-1	Bare'e	uae
30439	293-6f082ba4f0606bdf3d65c46c8593c618-1-1	Kavalan	razan
28797	235-e95964983b22ec16f4da8f877b5e0764-1-1	Balinese	jileŋ
32842	19041-cde45b20760aa4231bb452d626fa9f38-1-1	Penchal	pacal
27255	433-8f6e0718f22e3258a8c8ab647e131f9a-1-1	Tiruray	falaʔfa
27287	749-a957a3153eb7126b1c5f8b6aac35de53-1-1	Luang	pahənə
27310	647-787aa04f4ae7f59af2c154edd8f26a3a-1-1	Isneg	palʔíŋ
32904	402-9dfd70fdf15a3cb1ea00d7799ac6651b-1-1	Sangir	katiupaŋ
30400	1129-b77c25eded88f291c2ed9ca90afab48c-1-1	Yakan	pessel
32929	18976-29d43f4c4cfe574127f36d99de76af81-1-1	Sambal_(Botolan)	kirɨp
32929	19394-29d43f4c4cfe574127f36d99de76af81-1-1	Ayta_Maganchi	kirɨp
30605	877-29368af4b4ff844ae1ff7e3c5ebb6cf7-1-1	Lakalai	-riva
30605	485-281f5ff21088550d6e614d80029309df-1-1	Arosi	siha
30605	485-c347cfbf15d46b666f152eef24a16284-1-1	Arosi	haʔa-siha
27456	327-bacb21dd15532203eece771cd9983c5b-1-1	Maloh	puʔit
27508	19026-6ca6b43d042b4b2910cc6be389b0a474-1-1	Kilivila	polu
33755	401-4a5650ca8742d66e58975159d991baed-1-1	Samoan	inaŋa
33755	330-571035295e948ad27fdcc05d5bff1af7-1-1	Maori	inaŋa
27923	252-7dace53186e73f80204db2fd6f437dc5-1-1	Cebuano	gabhí-un
30337	666-34b569aa5f872cc9d12a7f4e5adf8ec0-1-1	Kaidipang	gosuto
30337	372-34b569aa5f872cc9d12a7f4e5adf8ec0-1-1	Palauan	dart
27957	344-ce8666f75103f70d4bb0d021f232e8bb-1-1	Mota	ŋara
29997	1062-036b3d438e84ee3bf1cfa92477b23a98-1-1	Thao	lhimza
30329	19418-396e6df58f62e354d9997cec7f026436-1-1	Lun_Dayeh	rinuh
30648	607-45fe7e5529d283851d93b74536e095a0-1-1	Futunan	ʔua
28052	19034-07cf4f8f5d8b76282917320715dda2ad-1-1	Mono-Alu	manuale
24787	1054-b068931cc450442b63f5b3d276ea4297-1-1	Tarpia	taya-
31574	810-f9853c80575cdb596f810f7a8d1fe958-1-1	Mambai	aim
31574	621-f9853c80575cdb596f810f7a8d1fe958-1-1	Helong	kaim
31574	19657-57ac85a28dafcb056b785d8f05c1c9ad-1-1	Sursurunga	gim
31574	19084-b911b8f930108601e642e621d22f1030-1-1	Proto-Polynesian	*kima
31575	345-1add1fff73ed1ee239f5e6036588f14f-1-1	Motu	umui
24835	412-af238f7fa55be68cec87e800e3606c04-1-1	Singhi_Land_Dayak	paniŋ
24836	307-cf79eb51f47f59a053649e0a9eea40c6-1-1	Kwaio	nale
24836	18004-622c583602df583e45b3b1a18b28adaa-1-1	'Āre'āre	nare
24877	226-b520305216b7b6d311778e760172ce8f-1-1	Aklanon	átas
26107	19456-f52b5e449a2303c031a0c3a1109360bf-1-1	Moronene	o-noo
26107	246-1bfd4fa6c56715902c065333a7286307-1-1	Bontok	ka-n&lt;ʔ&gt;ə́m
26107	246-dc0262411183ac36bb342ce1a243a8ad-1-1	Bontok	ka-n&lt;ʔ&gt;ə́m
26107	246-1bfd4fa6c56715902c065333a7286307-1-1	Bontok	ka-n&lt;ʔ&gt;ə́m
26107	246-dc0262411183ac36bb342ce1a243a8ad-1-1	Bontok	ka-n&lt;ʔ&gt;ə́m
26421	974-dc434e2f29d49d9aeba5958d5462b177-1-1	Saaroa	isa
26421	294-dc434e2f29d49d9aeba5958d5462b177-1-1	Kayan	ihaʔ
26421	242-dc434e2f29d49d9aeba5958d5462b177-1-1	Bintulu	isa
26421	1091-dc434e2f29d49d9aeba5958d5462b177-1-1	Tunjung	isa
26449	1060-47fd95a964ffdf67dbf68dd8ae8e221c-1-1	Tetun	inur
26455	313-c16b88b97fae23036fbc9a213f955a9a-1-1	Lau	kiu
26472	326-1e893922a5ddc59deda87b8f38f360cb-1-1	Malay	liur
26503	1118-8ce4fe6bc0847e53024f01c9eae36724-1-1	Wetan	emni
26503	615-8ce4fe6bc0847e53024f01c9eae36724-1-1	Gimán	imin
26503	226-1ccc8b10187966eef6240aef4f1329f6-1-1	Aklanon	imn-a
26503	252-48f575163f0820da72bb3223116cab83-1-1	Cebuano	imn-ún-un
26521	18577-bda9643ac6601722a28f238714274da4-1-1	Ngaju_Dayak	ma-hiaŋ
26526	423-7c6dcc7047f0da226bdb8ef4c6e4da72-2-1	Tagalog	giʔík
26557	19349-42dc6c5bee537c4850d8dd80da64d83f-1-1	Dhao/Ndao	adi
30393	293-b068931cc450442b63f5b3d276ea4297-1-1	Kavalan	naŋan
30393	544-b068931cc450442b63f5b3d276ea4297-1-1	Boano	laŋan
30393	19696-b068931cc450442b63f5b3d276ea4297-1-1	Andra	laŋa-n
30393	466-c41a05b698a4831c9f4f9f29f857fb16-1-1	Ahus	laŋa-n
30393	466-b068931cc450442b63f5b3d276ea4297-1-1	Ahus	laŋa-
30393	19729-b068931cc450442b63f5b3d276ea4297-1-1	Ponam	laŋa-
30393	888-b068931cc450442b63f5b3d276ea4297-1-1	Nehan	haŋan
30520	18945-82c9d797d3efee157a09f92170c2b7c2-1-1	Sa'a	ta-haŋa
30257	372-28b26be59c986170c572133aaace31c2-1-1	Palauan	wiŋəl
33154	282-5b7a9be7bccda160d999c2fdf98574be-1-1	Itbayaten	hoŋed
29916	1062-45d9391c8c7695a8459e0b9206941c29-1-1	Thao	nuzush
30188	245-e7f74d951322bf17cdab63535049938c-1-1	Mongondow	booʔ ~ buoʔ
25018	326-3544ffa091f1af56643365f45693513f-1-1	Malay	belebak
25100	423-456c920a203da806f81504471eaaac33-1-1	Tagalog	banláw
25100	226-d5057d0863583b0dcc2b47103a347974-1-1	Aklanon	bánlaw
25100	252-d0a7033b78a11d43d861ac40ac1c729f-1-1	Cebuano	banláw
25053	392-a363b8d13575101a0226e8d0d054f2e7-1-1	Roma	wahal
25057	819-c74c3e9fe5d6ccdc86ac67998a9815ec-1-1	Manobo_(Western_Bukidnon)	beylan
25060	19093-09d440e487d45777c05c3a6552ad9154-1-1	Proto-Willaumez	*varili
25060	410-09d440e487d45777c05c3a6552ad9154-1-1	Selau	wəsli
25060	420-09d440e487d45777c05c3a6552ad9154-1-1	Sonsorol-Tobi	fätirI
25074	245-539912dc2f99f398bfcde7d423dcddde-1-1	Mongondow	baluy
25074	225-c80a3aaf9f23744f8b79492d577c6e0d-1-1	Acehnese	baluy
25074	1067-7b5d352991b57e159bf03b97645933a1-1-1	Murut_(Timugon)	maluy
25075	331-2514b5a8d8a80c4d40cf2065818223ea-1-1	Maranao	baloy
25075	819-aa1a8a785266679e1b0dd8dfbe2f9830-1-1	Manobo_(Western_Bukidnon)	baluy
25075	294-41787e9fcb3ccec731d9b9c566e868ee-1-1	Kayan	baluy
25075	18577-9b0c95e1ca213c89eb293426cf964946-1-1	Ngaju_Dayak	baloy
25075	1077-80bdc43a54ccf80cf67f1d628d9e69dd-1-1	Tondano	waloi-en
25076	19093-09d440e487d45777c05c3a6552ad9154-1-2	Proto-Willaumez	*varili
25076	410-09d440e487d45777c05c3a6552ad9154-1-2	Selau	wəsli
25076	420-09d440e487d45777c05c3a6552ad9154-1-2	Sonsorol-Tobi	fätirI
31119	423-98beececb184179ed6ddd663506f7317-1-1	Tagalog	banasi
25229	402-c4587112ef6a9ab00ba20f2db672cac8-1-1	Sangir	bennaŋ
25239	18184-af127458881efa79dd75931cd652f266-1-1	Fordata	n-vanung
25140	19190-22af645d1859cb5ca6da0c484f1f37ea-1-1	Abaknon	bahaʔo
25160	279-adc350b07aeb1f5853fe125b8beb94d1-1-1	Ilokano	banáŋar
25182	326-1dc36601bda3367d9e041b7224b425fc-1-1	Malay	rabok
25175	18946-7e25b972e192b01004b62346ee9975a5-1-1	Sa'ban	biriəw
25175	338-7e25b972e192b01004b62346ee9975a5-1-1	Miri	baruy
25175	294-02c372570a634fbf30b8f36eb41f2ce4-1-1	Kayan	bahuy
25175	310-7e25b972e192b01004b62346ee9975a5-1-1	Lahanan	bauy
25181	293-18a6ddd9aaf77da16e99af93d12b9399-1-1	Kavalan	banur
25181	227-efb6d3fe903478e42a3ab22ec054eb76-1-1	Amis	fanol
25181	254-2913d80adcaf47e84b5c30915501a8d1-1-1	Cheke_Holo	balhu
32718	1131-b5a2dfba13f59fe6d48d070be07d4ff6-1-1	Yami	avosa
32718	282-579098b83b87a26556c061782818e25b-1-1	Itbayaten	vaxosa
32718	18956-67050f0d00929f15157d4d42ad3b49aa-1-1	Ivatan	vahosa
32718	19385-10ede4fbbd0ba9e1af6a0a86be328a9b-1-1	Ibatan	bahosa
30007	1063-f7340e464e48312494ce27b38eb841c8-1-1	Tialo	baray
33711	279-ce13cd9f4d427e47e40375fb7307cd33-1-1	Ilokano	bayʔá
25205	279-be264c0040713c3b13999d6db13df4ed-1-1	Ilokano	bároy
25205	633-6545ce6a9ce22c51d67aa09d85c3ca87-1-1	Ibanag	baruy
25205	920-62601884721aaf48ecfd092f1619e81d-1-1	Pangasinan	baluy
25304	285-085aaec0a37a9271ac71576b42999c1f-1-1	Javanese	wilet
25342	19089-51ecea229e28e7151251c832e72754d5-1-1	Proto-Sangiric	*beŋaR
25357	244-ea4169bf81d6ea9bed48491c2cb8b3ed-1-1	Bikol	baŋgí
25352	249-e1570233dd426c8b33335087a37a9072-1-1	Buli	poat
32414	19698-911b1ca4b34d45a115afee01b1e4fbb9-1-1	Ayta_Abellan	biah
25374	825-f926b3e222d7afee57071b2256839701-1-1	Mansaka	buktun
25440	920-1d9130c74a72cf4361570e78e629c684-1-1	Pangasinan	biláy
31745	19060-01e597b4e1dc33ba6da7355f3c0e18e0-1-1	Wayan	liva
31745	266-569977b2c1e59411b8bf901fd9ea7fc9-1-1	Fijian	liva-liva
25455	266-08238953fe0f6dd13f10714ebfbcb9f9-1-1	Fijian	liva
25551	19191-8ff953dd97c4405234a04291dee39e0b-1-1	Berawan_(Long_Terawan)	tekebin
25551	573-8ff953dd97c4405234a04291dee39e0b-1-1	Chamorro	putiʔon
33824	19502-8ff953dd97c4405234a04291dee39e0b-1-1	Peterara	vitiu
33824	943-8ff953dd97c4405234a04291dee39e0b-1-1	Raga	fisiu
25665	990-e07e81c20cf5935f5225765f0af81755-1-1	Saparua	halowan
25832	660-44112e8280a789c756ff1c7ba5d7e625-1-1	Old_Javanese	buteŋ
34022	331-afd367a7642f8d306942936d55c402ed-1-1	Maranao	boroŋan
25758	326-2d08c4ac01fe795120f0a75ab7437b5a-1-1	Malay	berunay
28747	328-b9abae541b4feced24227b5e08f49dd0-2-1	Manam	malazi
30070	409-c95d898a165bb652a559fec9a0e2f86a-1-1	Selaru	mahis
30070	19434-76e5ca44222a53da67e0d5f44000d7f6-1-1	Taba	amlif
30473	18004-ecaedffce08bbc74bfb5b45d8da6bc1a-1-1	'Āre'āre	na-nama
30473	18945-de7de25dae7123d45cb0987203bd058a-1-1	Sa'a	na-nama
33166	1094-59b56102d8b81d5561772dcc1b9d4a59-1-1	Ujir	məday
33166	1104-59b56102d8b81d5561772dcc1b9d4a59-1-1	W.Tarangan_(Ngaibor)	mədar
33166	18016-f0bf92016ef7a0946410e5a868f02c87-1-1	Asilulu	marəl
33166	473-ff3fd49aeba6c75480d6e02d8c6df58f-1-1	Amblau	mate
30128	678-496b178966fd31a90acf9afe59767e93-1-1	Kambera	lamakatu
30117	1017-2c36e888853c0a4fe28706671abe4605-1-1	Sobei	mano
27168	19175-f6e924595f10c1d9b68b5ae6a448f051-1-1	Tboli	sumuŋ
27160	293-104d661ae9962504b70fe33c75906aff-1-1	Kavalan	m-ruma
27160	293-104d661ae9962504b70fe33c75906aff-2-1	Kavalan	pa-ruma
32815	1017-de1b2a7baf7850243db71c4abd4e5a39-1-1	Sobei	mato
27515	252-613344b395171814c783735fd52d0765-1-1	Cebuano	lagnúb
26933	18147-2ac1ff5ff990bc0a4b3afa2286b9e55f-1-1	Dairi-Pakpak_Batak	alket
26933	427-d5204134f6b4e045ffd580129f1a734f-1-1	Toba_Batak	alhot
33294	423-434a113a138e4a6a76badbf5620cac11-1-1	Tagalog	lináb
33294	244-0ad351a158f158718297cad2c254372b-1-1	Bikol	ma-lánab
30430	620-16479b6c557fbddd3715829a57b83ed1-1-1	Hawaiian	nalo
30174	326-905ca9fb7a31bbc7bcc93047aee876b7-1-1	Malay	halia
26899	331-05088a564e249212819fe1742f106f09-1-1	Maranao	lagoy
26899	19175-a53108f7543b75adbb34afc035d4cdf6-1-1	Tboli	meloy (&lt; *l-um-aRiw)
30196	292-789d9a06ca24c82106a0329240878f66-1-1	Kapingamarangi	gai dala
30196	363-e75b05fe2af5c0ffb4ccd9196b4f45b1-1-1	Nukuoro	dala
30661	18964-9ff1a119c14898c3fe71ad9d616d6e12-1-1	Puyuma_(Tamalakaw)	waraH
30661	471-f1a81d782dea6a19bdca383bffe68452-1-1	Alune	kʷala
33132	636-33a90a48829bdfeb09dcfb1e8b3c1e44-1-1	Ifugaw	labo(h)
31122	1129-d3656f5a2babb957040dcbbea9fbdc1c-1-1	Yakan	lakkes
32927	19052-5df762931f2d4fb5e36f1adbf3840449-1-1	Tontemboan	ləsəm
30909	244-44698ca5dac48f6cba6e2d5fbb959caf-1-1	Bikol	mag-alpás
26967	249-72d3516992d1146a9d9896336d9633ef-1-1	Buli	loas
32995	636-966294625be4ac4d7b27416a42e1e081-1-1	Ifugaw	luhóŋ
30861	326-e04b5e6ba688bca3f793e042594072a8-1-1	Malay	lain
30861	404-3cd24d79def272d58512a4909539986d-1-1	Sasak	lain
33048	244-9b8bb328826da4f39615de00bbee381a-1-1	Bikol	hílom
30365	19349-30056e1cab7a61d256fc8edd970d14f5-1-1	Dhao/Ndao	lemi
30638	266-6ea6b88de3fea183b7737f506ba3aaa1-1-1	Fijian	lumi
33277	279-6b66590b13c86b88b8d467a3dc68d499-1-1	Ilokano	liŋʔí
