Language,Form,Gloss,Gloss_Fixed,Source,Form_ID_v1.2
Ilokano,sámak,"<i>Macaranga tanarius</i>, tree whose bark and bitter leaves are used to brew <span class=""wd"">bási</span>  (sugarcane wine) and give it a brown color","_Macaranga tanarius_, tree whose bark and bitter leaves are used to brew _bási_ (sugarcane wine) and give it a brown color",,279-e66ae9f546b12439b8ac17d3f43069b8-1
Rotuman,rɔri,"projecting portion of tree trunk, as of the <span class=""wd"">‘ifi</span> (Tahitian Chestnut) tree","projecting portion of tree trunk, as of the _‘ifi_ (Tahitian Chestnut) tree",,394-83b2e7b9f55f5186d192c7f26313c017-1
Kapampangan,putat,"a tree: <i>Barringtonia acutangula</i> (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Madulid"">Madulid 2001</a></span>)",a tree: _Barringtonia acutangula_ ([Madulid 2001](Source#cldf:madulid2001)),madulid2001,291-257c87a4b29b3775ab0bdd7811fe00da-1
Sundanese,nuwa,"to treat with <span class=""wd"">tuwa</span>",to treat with _tuwa_,,418-2517ef04c6afe45d858d45116ab029c5-1
Sundanese,ka- -an,"marker of the adversative passive; <span class=""wd"">ka-hujan-an</span> ‘stand or walk in the rain; be rained on, be caught in the rain’ (cp. <span class=""wd"">hujan</span> ‘rain’)","marker of the adversative passive; _ka-hujan-an_ ‘stand or walk in the rain; be rained on, be caught in the rain’ (cp. _hujan_ ‘rain’)",,418-23871baf6461dc6ca2163d59da9bf1b9-1
Kapampangan,ayaw,"scramble for something; rob in such a manner (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Bergaño"">Bergaño 1860</a></span>)",scramble for something; rob in such a manner ([Bergaño 1860](Source#cldf:bergano1860)),bergano1860,291-3f00c2186db96717dc58ac23bbef00b7-1
Seko,ampi-api,"firefly (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Mills"">Mills 1975:621</a></span>)",firefly ([Mills 1975:621](Source#cldf:mills1975)),mills1975[621],1001-53f018f2ee1fc4fb7ad2be1cc7b9ed43-1
Malay,buah renda,"ricestalks cut in the <span class=""wd"">semaŋat padi</span> ceremonies",ricestalks cut in the _semaŋat padi_ ceremonies,,326-dfe18ab1aa9dcd3da5ee2a71dfefe661-1
Gilbertese,ato-na,"thatch a house with <span class=""wd"">ato</span>",thatch a house with _ato_,,614-9f1f7cf7dd001ca1aef772652a5a9ede-1
Fijian,mata ni vanua,"a chief’s official herald, sometimes simply called a <span class=""wd"">mata</span>; an ambassador","a chief’s official herald, sometimes simply called a _mata_; an ambassador",,266-5a6c363cdf2a510b88681861e12a911f-1
Malay,luput,"slipping away from, being lost; of things ""lost and gone"" (<span class=""wd"">hilaŋ luput</span>)","slipping away from, being lost; of things ""lost and gone"" (_hilaŋ luput_)",,326-ed5c76d0d5819802d6f3bb45cec3969c-1
Sambal_(Botolan),-en,"marker of a subject derived from an initial direct object; also used in imperatives; e.g. <span class=""wd"">Paty-en nin lalaki nin koyà ya damowag</span> The carabao will be killed with a knife by the man (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Antworth"">Antworth 1979:39</a></span>); <span class=""wd"">Itap-en mo ya demek</span> throw away the trash (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Antworth"">Antworth 1979:49</a></span>)",marker of a subject derived from an initial direct object; also used in imperatives; e.g. _Paty-en nin lalaki nin koyà ya damowag_ The carabao will be killed with a knife by the man ([Antworth 1979:39](Source#cldf:antworth1979)); _Itap-en mo ya demek_ throw away the trash ([Antworth 1979:49](Source#cldf:antworth1979)),antworth1979[39] antworth1979[49],18976-be1edb6e4daf7697faf672817bd7cb0d-1
Sundanese,panah,"arrow and bow; <span class=""wd"">manah</span>  shoot with bow and arrow",arrow and bow; _manah_ shoot with bow and arrow,,418-b41867c6a8fb10a6333616296b01e64b-1
Malay,serambi,"a long low closed front verandah made by prolonging the eaves of the main building or <span class=""wd"">ibu rumah</span> (mother house); usually supported outwardly by an additional row of posts",a long low closed front verandah made by prolonging the eaves of the main building or _ibu rumah_ (mother house); usually supported outwardly by an additional row of posts,,326-6890189b69554959b70a3a95bdcdb9d0-1
Tae',me-nani,"to sing in chorus at the <span class=""wd"">bua’</span> festival (the agricultural New Year celebration, to ensure the continuing productivity of the rice crop); to sing European songs (this sense borrowed from <span class=""lg"">Malay</span> <span class=""wd"">mə-ñañi</span>)","to sing in chorus at the _bua’_ festival (the agricultural New Year celebration, to ensure the continuing productivity of the rice crop); to sing European songs (this sense borrowed from [Malay](LanguageTable#cldf:)",,18947-e98248eff10bb5d7a7254349c77b471e-1
Tagalog,-um-,"verbal infix ""used to express simple, single or general acts.  (a) simple or single performance: <span class=""wd"">bumása</span>, to read; <span class=""wd"">sumúlat</span>, to write. (b) general acts, like the functions of nature and the natural acts of the human body: <span class=""wd"">umulán</span>, to rain; <span class=""wd"">bumagyó</span>, to storm; <span class=""wd"">umáraw</span>, (the sun) to shine; or <span class=""wd"">tumiŋín</span>, to look; <span class=""wd"">sumakít</span>, to become painful; <span class=""wd"">tumakbó</span>, to run; <span class=""wd"">lumákad</span>, to walk, to go."" (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Panganiban"">Panganiban 1966</a></span>).  ""verbs like <span class=""wd"">bumagyó</span>, formed with bases that designate natural conditions (cf. <span class=""wd"">bagyó</span> 'storm'), occur in topicless sentences ... Many of the bases that occur in intransitive <span class=""wd"">-um-</span> verbs also occur as the bases of <span class=""wd"">ma-</span> adjectives and the verbs, which may be called <span class=""wd"">-um-</span> VERBS OF 'BECOMING,' denote the acquisition of the quality expressed by the adjective."" (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Schachter"">Schachter and Otanes 1972:310</a></span>).","verbal infix ""used to express simple, single or general acts. (a) simple or single performance: _bumása_, to read; _sumúlat_, to write. (b) general acts, like the functions of nature and the natural acts of the human body: _umulán_, to rain; _bumagyó_, to storm; _umáraw_, (the sun) to shine; or _tumiŋín_, to look; _sumakít_, to become painful; _tumakbó_, to run; _lumákad_, to walk, to go."" ([Panganiban 1966](Source#cldf:panganiban1966)). ""verbs like _bumagyó_, formed with bases that designate natural conditions (cf. _bagyó_ 'storm'), occur in topicless sentences ... Many of the bases that occur in intransitive _-um-_ verbs also occur as the bases of _ma-_ adjectives and the verbs, which may be called _-um-_ VERBS OF 'BECOMING,' denote the acquisition of the quality expressed by the adjective."" ([Schachter and Otanes 1972:310](Source#cldf:schachterandotanes1972)).",panganiban1966 schachterandotanes1972[310],423-9e626a226200aaa61c71ab405529ef42-1
Tsou,baʔi,"grandmother (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Szakos"">Szakos 1993</a></span>)",grandmother ([Szakos 1993](Source#cldf:szakos1993)),szakos1993,1087-95d81d92a91d9bcb752344c84577fe10-1
Manobo_(Western_Bukidnon),teǥas,"the <span class=""wd"">mulavi</span> tree or wood",the _mulavi_ tree or wood,,819-c35678cc0288db003475140783086468-1
Dairi-Pakpak_Batak,ki-,"verbal prefix (<span class=""wd"">gadoŋ</span> ‘yam’, <span class=""wd"">ki-gadoŋ</span> ‘gather yams’, <span class=""wd"">haraŋ</span> ‘charcoal’, <span class=""wd"">ki-haraŋ</span> ‘gather charcoal’, <span class=""wd"">tarutuŋ</span> ‘durian’, <span class=""wd"">ki-tarutuŋ</span> ‘gather durians’)","verbal prefix (_gadoŋ_ ‘yam’, _ki-gadoŋ_ ‘gather yams’, _haraŋ_ ‘charcoal’, _ki-haraŋ_ ‘gather charcoal’, _tarutuŋ_ ‘durian’, _ki-tarutuŋ_ ‘gather durians’)",,18147-9c6e051afe79b06a2bab8181d0423b98-1
Rarotongan,pu kuru,"breadfruit tree, <i>Artocarpus incisa</i>.  There are several kinds of breadfruit, as <span class=""wd"">kuru atu</span> or <span class=""wd"">kuru maori</span>, sacred to <span class=""wd"">Tangiianui Ariki</span>, and <span class=""wd"">kuru-ua</span> ‘the seeded breadfruit; known as the soursop or jackfruit (Artocarpus integrifolia); this kind was introduced from Samoa.","breadfruit tree, _Artocarpus incisa_. There are several kinds of breadfruit, as _kuru atu_ or _kuru maori_, sacred to _Tangiianui Ariki_, and _kuru-ua_ ‘the seeded breadfruit; known as the soursop or jackfruit (Artocarpus integrifolia); this kind was introduced from Samoa.",,388-fe4892bbdeaf40a16afe93f5a721d038-1
Casiguran_Dumagat,ma-naləŋ,"to gather <span class=""wd"">almaciga</span> sap",to gather _almaciga_ sap,,569-cb7e7749605586794b2c65f7d91d70c6-1
Amis,ʔaƚipaŋpaŋ,"butterfly (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Ogawa"">Ogawa 1934</a></span>)",butterfly ([Ogawa 1934](Source#cldf:ogawa1933)),ogawa1933,227-9fd8301ac24fb88e65d9d7cd1dd1b1ec-1
Malay,kə-siaŋ-an,"in daylight (as <span class=""wd"">bulan kə-siaŋ-an</span> ‘the moon in daylight’)",in daylight (as _bulan kə-siaŋ-an_ ‘the moon in daylight’),,326-d3bedf31123aaa2f494c75dc03734e24-1
Hawaiian,mākua,"parents, etc. (plural of <span class=""wd"">makua</span>)","parents, etc. (plural of _makua_)",,620-7e6726dbeccb7f2589e263e051e4889c-1
Atayal_(Cʔuliʔ),qalipuguʔ,"hair whorl  (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Li"">Li 1980</a></span>)",hair whorl ([Li 1980](Source#cldf:li1980)),li1980,494-8384fca22d47e3b8e7f88aa553217004-1
Aklanon,saeód,"vessel used for gathering <span class=""wd"">tuba</span>",vessel used for gathering _tuba_,,226-bb3d79fde1e7ce999f20213fdea4777a-1
Niue,a,"particle used in the following cases: 1. before pronouns (except <span class=""wd"">au</span>), personal names, or local nouns when they are the subject of an intransitive verb; 2. before pronouns, personal nouns and names of months when they follow the prepositions <span class=""wd"">ki</span> and <span class=""wd"">i</span>; 3. before a common noun following (but not preceding) a possessive pronoun; 4. before a demonstrative pronoun drawing attention to a noun associated with an indefinite article and an adjective; 5. after <span class=""wd"">falu</span> (some), <span class=""wd"">a</span> is used in place of the ordinary article, either singular or plural","particle used in the following cases: 1. before pronouns (except _au_), personal names, or local nouns when they are the subject of an intransitive verb; 2. before pronouns, personal nouns and names of months when they follow the prepositions _ki_ and _i_; 3. before a common noun following (but not preceding) a possessive pronoun; 4. before a demonstrative pronoun drawing attention to a noun associated with an indefinite article and an adjective; 5. after _falu_ (some), _a_ is used in place of the ordinary article, either singular or plural",,362-044704b25c390602b31723362645f6e3-1
Lun_Dayeh,tubeh,"fishing poison; varieties include: <span class=""wd"">tubeh buayeh</span> (cactus); <span class=""wd"">tubeh enep</span>, <span class=""wd"">tubeh demacar</span>,  <span class=""wd"">tubeh kutat</span> (trees); <span class=""wd"">tubeh feladeh</span>, <span class=""wd"">tubeh falaŋ</span>, <span class=""wd"">tubeh bilaaʔ buluʔ</span>, <span class=""wd"">tubeh kayuh yuŋ</span>, <span class=""wd"">tubeh tebayan</span>, <span class=""wd"">tubeh fadih</span> (roots); <span class=""wd"">tubeh war ilaŋ</span> (vine)","fishing poison; varieties include: _tubeh buayeh_ (cactus); _tubeh enep_, _tubeh demacar_, _tubeh kutat_ (trees); _tubeh feladeh_, _tubeh falaŋ_, _tubeh bilaaʔ buluʔ_, _tubeh kayuh yuŋ_, _tubeh tebayan_, _tubeh fadih_ (roots); _tubeh war ilaŋ_ (vine)",,19418-e6d4e553b9cb0ea7d2118dab205fcc2c-1
Nggela,gulavu,"a species of large fish, young <span class=""wd"">mbanga</span> (a species of large fish, able to swallow a man)","a species of large fish, young _mbanga_ (a species of large fish, able to swallow a man)",,359-f4040e06e3a07f0a064b668f7a0bae54-1
Ilokano,salaksák,"kind of kingfisher with blue and black plumage, larger than the <span class=""wd"">bíding</span>, named for its sound, which is thought to bring about bad luck","kind of kingfisher with blue and black plumage, larger than the _bíding_, named for its sound, which is thought to bring about bad luck",,279-5146862129f66983686bfc711b18901f-1
'Āre'āre,puru,"puttynut, used to caulk canoes; a tree gum, <span class=""wd"">puru nari</span>, a resin","puttynut, used to caulk canoes; a tree gum, _puru nari_, a resin",,18004-c9fc97292944d6c0e6e6d2b336af6b0f-1
Kelabit,gəramih,"rice straw, rice stubble (dbl. <span class=""wd"">dəramih</span>)","rice straw, rice stubble (dbl. _dəramih_)",,299-ef1c5dadf8a376a85b1bf405e4a2bab6-2
Toqabaqita,iana thala,"be pregnant out of wedlock (<span class=""wd"">thala</span> = of life, thoughts, situations: lack substance, solidity","be pregnant out of wedlock (_thala_ = of life, thoughts, situations: lack substance, solidity",,19197-8648edeb090f2622577a0c5d84782302-1
Tiruray,segelay,"a strap used to sling s.t. from one shoulder; to carry s.t. with a <span class=""wd"">segelay</span>",a strap used to sling s.t. from one shoulder; to carry s.t. with a _segelay_,,433-7d6af4bf6a92a8a6e270e95c54b20181-1
Bare'e,mo-nuwa,"to stun fish with <span class=""wd"">tuwa</span>",to stun fish with _tuwa_,,236-950bff39f106643a311ea72cf0bd9860-1
Iban,api baraʔ,"('smouldering fire') praise name of Ngelingkan, ancestor of <span class=""wd"">Tuang</span> of Ulu Klauh and <span class=""wd"">Pengulu Ngali</span> of Delok, whose remains are kept in the house at Engkramut","('smouldering fire') praise name of Ngelingkan, ancestor of _Tuang_ of Ulu Klauh and _Pengulu Ngali_ of Delok, whose remains are kept in the house at Engkramut",,276-3d1035f5f8eee3164dd4c32228093ba8-1
Malagasy,vony,"flower, generally <span class=""wd"">voni-ny</span> its flowers, its petals; yellow","flower, generally _voni-ny_ its flowers, its petals; yellow",,18432-c4c57b8a7fd13a019ab0f1e2368e1cb2-1
Chamorro,gatus,"hundred (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Costenoble"">Costenoble 1940</a></span>)",hundred ([Costenoble 1940](Source#cldf:costenoble1940)),costenoble1940,573-34b569aa5f872cc9d12a7f4e5adf8ec0-1
Ibatan,tavayay,"a common gourd, <span class=""wd"">upo</span>: <i>Lagenaria leucantha</i>","a common gourd, _upo_: _Lagenaria leucantha_",,19385-6a98f471383dd9d409ddc476d9d1acf9-1
Malay,taŋis,"weeping, in contrast to cries (<span class=""wd"">raung</span>) or lamentations (<span class=""wd"">ratap</span>)","weeping, in contrast to cries (_raung_) or lamentations (_ratap_)",,326-bd96e271839796341ac1e9a3c92a5809-1
Hanunóo,ʔaynu,"a plant: <i>Phragmites australis</i> (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Madulid"">Madulid 2001</a></span>)",a plant: _Phragmites australis_ ([Madulid 2001](Source#cldf:madulid2001)),madulid2001,273-5d793aaf85122ddd661335bf986667e0-1
Sasak,litaʔ,"tree the wood of which is used for <span class=""wd"">sirih</span> boxes, the sap of which is used for bird lime and the bast fiber of which is used as medicine","tree the wood of which is used for _sirih_ boxes, the sap of which is used for bird lime and the bast fiber of which is used as medicine",,404-06178cb1defaa13e6812f68900019ab1-1
Tagalog,bának,"adult large-scaled mullet fish, known as <span class=""wd"">agwás</span> when still spawning and <span class=""wd"">taliloŋ</span> when still immature: <i>Mugil waigensis</i>","adult large-scaled mullet fish, known as _agwás_ when still spawning and _taliloŋ_ when still immature: _Mugil waigensis_",,423-cc0d0f89f36cd122e404919e363cc4b6-1
Maori,kai,"consume, eat; drink any liquid other than water, for which <span class=""wd"">inu</span> is used; bite; food","consume, eat; drink any liquid other than water, for which _inu_ is used; bite; food",,330-a8f3397a93e5d27fa2026a3964242902-1
Toba_Batak,ha-,"the time at which, place whence, or even the particular way in which the content of the verb takes place: <span class=""wd"">h<in>a-pogos</span>  ‘suffering poverty, being poor’ (cp. <span class=""wd"">pogos</span> ‘poor’)","the time at which, place whence, or even the particular way in which the content of the verb takes place: _h<in>a-pogos_ ‘suffering poverty, being poor’ (cp. _pogos_ ‘poor’)",,427-fc0e82bb64682a6299b354454f7afd9d-1
Ilokano,báor,"to mix ordinary rice with <span class=""wd"">díket</span> (soft, sticky) rice","to mix ordinary rice with _díket_ (soft, sticky) rice",,279-12c7cf87463b87ca6998260aa5a4d4e9-2
Fijian,vusa,"almost synonymous with <span class=""wd"">yavusa</span> (the largest kinship and social division of Fijian society), but used more generally of a group, tribe, either of people or animals, etc.","almost synonymous with _yavusa_ (the largest kinship and social division of Fijian society), but used more generally of a group, tribe, either of people or animals, etc.",,266-35697847387e387c73fa2a265361cee2-1
Old_Javanese,waruga,"kind of building (""bale""? hall, <span class=""wd"">pendopoʔ</span>). It seems to be part of the housing of persons of distinction and a tax can be levied on it","kind of building (""bale""? hall, _pendopoʔ_). It seems to be part of the housing of persons of distinction and a tax can be levied on it",,660-d85dfc24a48387fad13b9d8fa99f51b3-1
Tongan,maʔanu,"be afloat, not to be resting on or touching the bottom; kind of jelly-fish (<span class=""wd"">kolukalu</span>) that stays at or near the top of the sea","be afloat, not to be resting on or touching the bottom; kind of jelly-fish (_kolukalu_) that stays at or near the top of the sea",,434-d1faf950f705f8420e44d532eb40e3df-1
Iban,baŋkay,"corpse, dead body of any animal; to call a person <span class=""wd"">baŋkay</span> in swearing is a gross insult","corpse, dead body of any animal; to call a person _baŋkay_ in swearing is a gross insult",,276-90c68b8debe7b6fe014999a101bb38dd-1
Nggela,goli,"to scrape coconut with a <span class=""wd"">tue</span> (fresh water shell)",to scrape coconut with a _tue_ (fresh water shell),,359-d9bdbd65fd5e498308b30a024ec9cd80-1
