Language Name	Language ID	Word ID	Word form	Original Entry ID	New Entry ID
Maranao	331	c695be4ac9d9282355db8c412a4d0a84-1	kemel	31295#s-9356	26206#s-2489
Toba Batak	427	a89022151ed9c7c25e51b79f80fa9dd6-1	homol	31295#s-9356	26206#s-2489
Bikol	244	215f6efdd22b8c9d5464b367007410c4-1	mag-kumól	31295#s-9356	26206#s-2489
Bikol	244	1806689581db8edec58a9fc21d16bf79-1	kumól	31295#s-9356	26206#s-2489
Buruese	251	01a71ccd004cf6c64a41907f24cdce6d-1	keme-h	31295#s-9356	26206#s-2489
Sasak	404	645503f1bbbc6ce5aa438b5dae09b06b-1	lepoʔ	26965#s-3431	31318#s-9390
Itbayaten	282	f97c5d29941bfb1b2fdab0874906ab82-1	aʔsa	26132#s-2407	26132#s-2406
Manobo (Western Bukidnon)	819	8317aad32020e31c9eccf8cedc7d594b-1	huna	28313#s-5409	31130#s-9110
Makassarese	325	c7e3a79a910dae3371859c8c9f1e8549-1	giri	26235#s-2518	26230#s-2513
Ngaju Dayak	18577	e9fcaa41fb3042a4cc82833a48e3ff50-1	ka-kirik	26778#s-3238	26230#s-2513
Tae'	18947	6adc7facf04a817368a5347671081508-1	kiriʔ	26778#s-3238	26230#s-2513
Kowiai/Koiwai	304	2135b8ca621d9ba831521f04df33a4ca-1	fuŋ	27532#s-4082	27531#s-12522
Pak	371	09d440e487d45777c05c3a6552ad9154-1	penit	25076#s-563	25060#s-540
Nauna	355	09d440e487d45777c05c3a6552ad9154-1	pelic	25076#s-563	25060#s-540
Abaknon	19190	df393fba3977a564ccbfbfdd4f5b85c3-1	kaway	29845#s-6470	29846#s-6472
Chamorro	573	2e490dce78d45c140213d40cb955fa10-1	cicéʔ	28805#s-6036	31355#s-9437
