ID,Name,Initial,Description,Comment,Source
24756,*aba₂,a,carry pick-a-back,"Also [Ifugaw](LanguageTable#cldf:636) _abbá_ ‘carry a baby or little child on one's back with or without a blanket’, [Maranao](LanguageTable#cldf:331) _ababa_ ‘carry, as on the back’.  These and the above forms may all reflect &ast;_a-baba_.",
24748,*abag,a,"join forces, cooperate in working","Also [Tagalog](LanguageTable#cldf:423) _habág_ ‘compassion’, [Maranao](LanguageTable#cldf:331) _aoag_ ‘distant relative’. Possibly a chance resemblance.",
24749,*abaká,a,Manila hemp: Musa textilis,"Also [Agutaynen](LanguageTable#cldf:19189) _abaka_ ‘abaca hemp, used to weave clothing, ropes, mats, baskets, etc.’.  Said to be a loanword because the abaca plant does not grow on Agutaya island.",
24750,*abal abal,a,beetle sp.,"[Tiruray](LanguageTable#cldf:433) normally reflects [PPh](LanguageTable#cldf:19083) &ast;_-b-_ as /_w_/.  This item may be a loan from an undetermined source, or perhaps a chance resemblance.",
33006,*abála,a,"to bother, disturb, annoy or inconvenience someone",Possibly a [Tagalog](LanguageTable#cldf:423) loan distribution.,
24758,*abaŋ₁,a,"ambush, block the way; obstacle, hindrance",Also [Itbayaten](LanguageTable#cldf:282) _abaŋ_ ‘lie in wait’.,
24759,*abaŋ₂,a,ditch,"Perhaps also [Malay](LanguageTable#cldf:326) _abaŋ_ ‘dimple’.  [Kayan](LanguageTable#cldf:294) _abaŋ_ is regular only if it reflects earlier &ast;_ambaŋ_.  [Malay](LanguageTable#cldf:326) _abaŋ-an_ is irregular in any case, since &ast;_b_ normally became [Malay](LanguageTable#cldf:326) /_w_/ in the sequence &ast;_-aba_.",
24760,*abaŋ₃,a,rent,,
24751,*abat₁,a,give a supporting hand,,
24752,*abat₂,a,spirit that causes sickness,"Also [Manobo (Dibabawon)](LanguageTable#cldf:821) _abot_ ‘sickness in which the victim vomits red vomitus, caused by an evil spirit’.",
24753,*abat₃,a,"wound, to wound",Also [Asilulu](LanguageTable#cldf:18016) _apat_ ‘the unhealed wound of the recently circumcised penis’.,
33992,*abat₄,a,"to extract from body (as sliver, or imagined cause of illness in shamanic practice)",Possibly identical to &ast;_abat₂_ ‘spirit that causes sickness’.,
24754,*abaw,a,"high, lofty","Also [Itbayaten](LanguageTable#cldf:282) _havavaw_ ‘shallowness’, [Tagalog](LanguageTable#cldf:423) _hambáw_ ‘superficial, shallow’. With root &ast;[-baw₁](cf.csv#cldf:Root-29836) ‘high; top’.",
24755,*abay,a,side by side,"[Iban](LanguageTable#cldf:276) _ambai_ ‘lover, sweetheart’ may also be related, although this remains unclear.",
24958,*a(m)bek,a,mat,,
24828,*abi,a,"take hold of, grasp",,
24762,*abij,a,copulate,,
24761,*abijay,a,sling over the shoulder,"Also [Ilokano](LanguageTable#cldf:279) _abáday_ ‘carry something in a band slung over the shoulder’, [Ilokano](LanguageTable#cldf:279) _abíday_ ‘throw a blanket over the shoulder’, [Kalamian Tagbanwa](LanguageTable#cldf:18285) _kablay_ ‘carry suspended from shoulder diagonally’, [Maranao](LanguageTable#cldf:331) _abelai_ ‘hang over shoulder, sling across shoulder’, [Maranao](LanguageTable#cldf:331) _ambelai_ ‘put hand around shoulder’.",
33651,*abilus,a,a plant: Acalypha spp.,,
24763,*abit₁,a,climb,"Possibly a chance resemblance.  Alternatively, the forms cited here may be compared with [Amis](LanguageTable#cldf:227) _safit_ ‘cloth wrapped around the feet to help climb betel nut tree’, and assigned to [PAn](LanguageTable#cldf:19072) &ast;_Sabit_ ‘long cloth wrapped around body and used for carrying’ through this semantic connection.",
24764,*abu abu,a,fish sp.,"Also [Bikol](LanguageTable#cldf:244) _ábo_ ‘a fish, the grouper: _Epinephelus undulosus_’, [Malay](LanguageTable#cldf:326) _ikan ambu-ambu_ ‘bonito fish: _Thynnus tunnina_’, [Kamarian](LanguageTable#cldf:288) _apu_ ‘fish sp.’. [Banjarese](LanguageTable#cldf:243) _habu_ ‘young of the murrel (very small, like a fleck of ash): _Ophiocephalus striatus_)’ evidently reflects &ast;_qabu_ ‘ash’, and the same may be true of the present comparison.",
24765,*abuat,a,long (of objects),,
33727,*abúluy,a,assistance given to someone in need,Possibly a [Tagalog](LanguageTable#cldf:423) loan distribution.,
30588,*abun,a,"collect, gather","With root [&ast;-bun](cf.csv#cldf:Root-29854) ‘heap, pile; collect, assemble’.   Possibly a convergent innovation.",
24766,*abuqaŋ,a,beetle,"Also [Paiwan](LanguageTable#cldf:370) _qaquŋ_ ‘soldier beetle’, [Tagalog](LanguageTable#cldf:423) _uwáŋ_, _uʔáŋ_ ‘big beetle, usually infesting coconut trees’, [Bikol](LanguageTable#cldf:244) _úʔaŋ_ ‘large, black, horned coconut beetle, living in and boring into palm trees’.  [Tae'](LanguageTable#cldf:18947) _ambo(y)oŋ_ ‘kind of beetle which emerges from felled sugar palms, and which develops from the white sago worm which lives on the pith of the sugar palm’ appears to be distinct.",
24767,*abuR,a,dust,"Also [Kankanaey](LanguageTable#cldf:289) _abúd_ ‘fine sand, fine mud’.",
28822,*ábuR,a,"chase, drive away","Also [Tagalog](LanguageTable#cldf:423) _abóy_ ‘something or someone being driven about; act of driving away’ (probably an early [Kapampangan](LanguageTable#cldf:291) loan).  The similarity of [Yamdena](LanguageTable#cldf:1130) _yabur_ ‘flee, run away’ to the forms cited above is assumed to be a product of chance.",
24768,*abus,a,ash,,
24769,*abut₁,a,"pull up, root up","Also [Tetun](LanguageTable#cldf:1060) _abut_ ‘root’.  With root &ast;[-buC](cf.csv#cldf:Root-29851) ‘to weed, pluck, pull out’.",
33993,*abut₂,a,buttocks,With root [&ast;-but₁](cf.csv#cldf:Root-29861) ‘buttocks; bottom’.,
33406,*abuyu,a,to boil sugarcane to make sugarcane wine,"Possibly borrowed from languages of northern Luzon (cf. [Yami](LanguageTable#cldf:1131), [Itbayaten](LanguageTable#cldf:282) _onas_ ‘sugarcane’, which is almost certainly a borrowing of [Ilokano](LanguageTable#cldf:279) _unás_, since nearly all other Philippine languages reflect [PAn](LanguageTable#cldf:19072) &ast;_tebuS_ in this meaning).  However, this word is not found in any [Ilokano](LanguageTable#cldf:279) source available to me.",
24774,*acaŋ,a,"dove, pigeon","Also [Bintulu](LanguageTable#cldf:242) _manuk atəŋ_ ‘tame pigeon, domestic pigeon’, [Mongondow](LanguageTable#cldf:245) _asa-asaŋ_ ‘nocturnal bird sp.’.  Possibly a product of borrowing, although it is noteworthy that this form is unattested in [Malay](LanguageTable#cldf:326) (unless in the form _acaŋ_ ‘messenger, errand-boy’, from the use of domestic pigeons to send messages).",
24771,*aCab,a,a cover,Also [Puyuma (Tamalakaw)](LanguageTable#cldf:18964) _ʔeTav_ ‘to cover’.,
24772,*aCas,a,"high, tall","Also [Tboli](LanguageTable#cldf:19175) _tahaʔ_ ‘long, tall’, [Simalur](LanguageTable#cldf:415) _atas_, _aʔtaiʔ_/ ‘high’, [Selaru](LanguageTable#cldf:409) _atat_ ‘high’, [Gilbertese](LanguageTable#cldf:614) _eta_ ‘top, upper, heavens (as opposed to the earth), the shore as opposed to the sea, the land; high’; _eta-eta_ ‘very high’; _i-eta_ above, ashore, over’.  Although non-[Formosan](LanguageTable#cldf:20004) witnesses point consistently to &ast;_atas_ (with metathesis of the first vowel and consonant in [PPh](LanguageTable#cldf:19083)) the reconstruction of a [PAn](LanguageTable#cldf:19072) etymon is more problematic.  [Tsuchida (1983)](Source#cldf:tsuchida1983) identifies the [Puyuma](LanguageTable#cldf:386) stem as _-Tas_, since e.g. _i-Tas_ ‘up, above’ lacks an initial stem vowel.  If this analysis is adopted, however, comparison of the [Formosan](LanguageTable#cldf:20004) and extra-[Formosan](LanguageTable#cldf:20004) material becomes difficult.  


To explain the missing initial vowel in [Puyuma](LanguageTable#cldf:386) _-Tas_ we might posit a stem &ast;_Caqas_ which is prefixed both in [Puyuma (Tamalakaw)](LanguageTable#cldf:18964) _a-Tas_ ‘high’, and in all [MP](LanguageTable#cldf:19081) languages.  This hypothesis offers the minor advantage of deriving the Central Philippine forms without metathesis, but creates two more serious problems: 1) it forces us to assume an irregular loss of _-H-_ with contraction of the resulting vowel sequence in [Puyuma](LanguageTable#cldf:386), and 2) it forces us to assume that all non-[Formosan](LanguageTable#cldf:20004) reflexes outside the central Philippines contain an independently reconstructible prefix or particle (presumably &ast;_qa_ ‘locative particle’) which has become fossilized.  While this analysis may work for most reflexes in [MP](LanguageTable#cldf:19081) languages, it is not clear that the initial vowel in [Puyuma (Tamalakaw)](LanguageTable#cldf:18964) _a-Tas_ ‘high’ has any connection with &ast;_Sa_; the same must be said for the morphologically corresponding but probably convergent form [Cebuano](LanguageTable#cldf:252) _ha-taʔás_ ‘very long; high’.  As a compromise, then, I assume that [Puyuma (Tamalakaw)](LanguageTable#cldf:18964) _-Tas_ shows an irregular loss of the first syllable vowel.  Finally, [Ross (1988:276)](Source#cldf:ross1988) reconstructs [POc](LanguageTable#cldf:19082) &ast;_qatas_ ‘summit, top’, but provides no supporting evidence for the initial consonant.",tsuchida1983;ross1988[276]
24773,*aCay,a,death,"Also [Bontok](LanguageTable#cldf:246) _etéy_ ‘death’, _pátay_ ‘any sacrifice performed on behalf of the village’, [Aklanon](LanguageTable#cldf:226) _ka-mátay-on_ ‘death’, [Manggarai](LanguageTable#cldf:816) _mate_ ‘the late, the deceased’, [Ngadha](LanguageTable#cldf:357) _mate_ ‘die; dead; the deceased; kill, slay’, [Lamaholot](LanguageTable#cldf:19031) _maté-n_ ‘already dead, not moving any more’, [Fordata](LanguageTable#cldf:18184) _matta_ ‘die; dead; go out (fire, light)’, [Kowiai/Koiwai](LanguageTable#cldf:304) _matata_ ‘corpse’, [Marshallese](LanguageTable#cldf:833) _mij_ ‘dead; numb; death’, [Niue](LanguageTable#cldf:362) _mase_ ‘die’.  Since all of the forms that Dempwolff compared contain a reflex either of &ast;_p-_ or of &ast;_m-_, he reconstructed both &ast;_patay_ and &ast;_matay_ ‘die, dead’. However, rather than list these reconstructions with the relevant supporting evidence separately, as was his practice with doublets, he posited paired etyma &ast;_patay_, &ast;_matay_ at the head of a single mixed comparison, with an empty cross-reference to &ast;_matay_.  The explanation for this treatment is given in [Dempwolff (1934-38:sect. 47e)](Source#cldf:dempwolff193438), where it is suggested that &ast;_matay_ is derived from &ast;_patay_ by nasal substitution, but is sufficiently widespread (being found in ‘Indonesian’, ‘Melanesian’ and Polynesian languages) to require a separate reconstruction.  This was perhaps the closest Dempwolff came to the reconstruction of morphology. 


The evidence now available shows that the unaffixed [PAn](LanguageTable#cldf:19072) base in question was &ast;_aCay_.  Dempwolff's &ast;_patay_ and &ast;_matay_ can most convincingly be derived from &ast;_pa-aCay_ ‘kill’  (with causative &ast;_pa-_) and &ast;_ma-aCay_ ‘dead’ (with stative &ast;_ma-_).  That the base began with a vowel rather than &ast;_q-_ is clear from such reflexes as [Bunun](LanguageTable#cldf:250) _atađ_ ‘kill’, [Kalamian Tagbanwa](LanguageTable#cldf:18285) _patay_ ‘dead’, [Moken](LanguageTable#cldf:341) _matay_ ‘die; dead’, [Muna](LanguageTable#cldf:350) _mate_ ‘die; dead’, [Lou](LanguageTable#cldf:322) _mat_ ‘die; dead’, and [Tongan](LanguageTable#cldf:434) _mate_ ‘die; dead’.  The merger of &ast;_q-_ and zero in many attested languages would have led to homophony between reflexes of [PAn](LanguageTable#cldf:19072) &ast;_aCay_ ‘death’ and &ast;_qaCay_ ‘liver’, both of which figured in numerous expressions relating to the emotions.  Possibly to avoid such potentially awkward homophony the unaffixed base was lost in the great majority of languages, leaving reflexes of &ast;_pa-aCay_ and &ast;_ma-aCay_ as effective secondary base forms for further morphological elaboration.  Thus, next to [PAn](LanguageTable#cldf:19072) &ast;_pa-aCay_ and [PMP](LanguageTable#cldf:19081) &ast;_pa-atay_ ‘kill’ there is a priori evidence for e.g. [PMP](LanguageTable#cldf:19081) &ast;_pa(ka)-m-atay_ ‘kill’ and [PWMP](LanguageTable#cldf:19094) &ast;_ka-m-atay-an_ ‘affected by a death’, where the outer affixation evidently was added to an already prefixed base.  


The alternative hypothesis, that forms such as [Bunun](LanguageTable#cldf:250) _atađ_ ‘kill’, [Casiguran Dumagat](LanguageTable#cldf:569) _atë_ ‘die; dead; death’ or [Kelabit](LanguageTable#cldf:299) _ate_ are products of analogical back-formation from a base &ast;_paCay_ or &ast;_maCay_ is more difficult to maintain in view of the fairly clear (though by no means universal) association of reflexes of the former with the causative ‘kill’ and of reflexes of the latter with the stative ‘dead’. Partly by analogy with &ast;_ma-qudip_ ‘living, alive’, I have attributed all reflexes that Dempwolff would have assigned to &ast;_matay_ to [PAn](LanguageTable#cldf:19072) &ast;_ma-aCay_, [PMP](LanguageTable#cldf:19081) &ast;_ma-atay_, [PCEMP](LanguageTable#cldf:19074) &ast;_matay_, [POc](LanguageTable#cldf:19082) &ast;_mate_.  It is possible that these forms actually represent a conflation of &ast;_ma-aCay_ ‘dead’ (stative) and &ast;_um-aCay_ ‘die’ (active), since the initial vowel in reflexes of  &ast;_in-atay_ generally disappeared even though it was retained in most other forms, and we would expect a parallel treatment of the initial vowel of &ast;_um-atay_.  Nonetheless, pairs such as [Kelabit](LanguageTable#cldf:299) _mate_ ‘die; dead’, _in-ate_ ‘killed’ suggest that the former does contain a reflex of &ast;_ma-_ rather than &ast;_um-_.  The same apparently must be assumed in [PMP](LanguageTable#cldf:19081) &ast;_m-in-atay_ ‘person who has died, corpse’ (= &ast;_m-in-a-atay_, with contraction of the sequence of like vowels), despite the fact that the co-occurrence of &ast;_ma-_ ‘stative’ and &ast;_-in-_ ‘perfective’ is otherwise rare.  


Because of occasional ambiguities in the morphology it is possible that I have posited some morphologically complex forms of &ast;_aCay_ and its reflexes which are in reality products of convergent innovation.  Examples include &ast;_m-atay-an_ ‘lose someone through death’, &ast;_paŋ-m-atay_ ‘means of killing(?)’, &ast;_ka-p-atay-an_ ‘end of death of something(?)’ and &ast;_ka-p-atay-en_ ‘death(?)’.  As implied in passing above, it appears likely that the prefix of [PAn](LanguageTable#cldf:19072) &ast;_ma-aCay_ was reinterpreted as part of the stem in [PCEMP](LanguageTable#cldf:19074) &ast;_matay_.  The only known counterevidence to this claim is [Bimanese](LanguageTable#cldf:241) _h-ade_ ‘kill, extinguish a fire’ and [Soboyo](LanguageTable#cldf:419) _n-ate_ ‘2sg, 3sg and 3pl form of _m-ate_ ‘die’. Finally, although Dempwolff reconstructed both &ast;_patay_ and &ast;_matay_ with the meaning ‘die, dead’ it is clear from the data assembled here that by at least [PMP](LanguageTable#cldf:19081) times a far richer complex of meanings was associated with &ast;_atay_, whether alone, affixed, or in combination with various other free morphemes. These meanings included not only ‘death’, ‘dead’, ‘die’, ‘kill’, and ‘corpse’ but also the following more figurative senses:",dempwolff193438[sect. 47e]
24775,*adaduq,a,long (of objects),"Also [Saisiyat](LanguageTable#cldf:400) _ʔinaroʔ_ ‘long (objects)’, [Paiwan](LanguageTable#cldf:370) _laḍuq_ ‘be long (spatially)’, [Chamorro](LanguageTable#cldf:573) _anakkoʔ_ ‘long’.",
24776,*adamay,a,a plant: Pipturus argenteus,"[Sundanese](LanguageTable#cldf:418) _haramay_ ‘an urticacea: _Boehmeria nivea_’ may also be cognate.  If so, &ast;_adamay_ must be changed to &ast;_qadamay_.  The essence of this comparison appears in [Verheijen (1984)](Source#cldf:verheijen1984).",verheijen1984
30665,*adani,a,near,"Also [Seediq](LanguageTable#cldf:407) _dalex_ ‘near (in space or time)’,  [Ilokano](LanguageTable#cldf:279) _addaní_ ‘close intervals (of events)’, [Gaddang](LanguageTable#cldf:268) _araʔni_, [Narum](LanguageTable#cldf:354) _sanæʔ_, [Bintulu](LanguageTable#cldf:242) _janiʔ_ ‘near’.",
29951,*adaS,a,"bring, take along",Although  [Bunun](LanguageTable#cldf:250) _madas_ appears to be an affixed form of a base /_adas_/ [Jeng (1972)](bib-Jeng) gives the base as /_madas_/ because of affixed forms like /_madas-in_/.  It is unclear whether the same is true of  [Saisiyat](LanguageTable#cldf:400).,
32690,*adayúq,a,far,"This comparison was first noted by [Zorc (1986:161)](Source#cldf:zorc1986).  Despite the general phonetic similarity of the forms, &ast;_dayuq_ appears to be a clear replacement innovation for PMP &ast;_zauq_ ‘far’.",zorc1986[161]
30342,*adi,a,"no, not","Also [Itbayaten](LanguageTable#cldf:282) _alih_ ‘not, none’.  All Philippine reflexes that are assigned to &ast;_adi_ could just as easily be assigned to &ast;_hadiq_, but this is not true of [Seediq](LanguageTable#cldf:407) _adi_, which forces the reconstruction of a disjunct.",
24779,*adu,a,"compete, confront in a contest","Also [Tagalog](LanguageTable#cldf:423) _áro_ ‘prodding test of strength of textiles’, [Javanese](LanguageTable#cldf:285) _aḍu_ ‘sue, bring legal action against’, [Mongondow](LanguageTable#cldf:245) _adu_ ‘accusation, charge’ ([Malay](LanguageTable#cldf:326) loan).  Many of the forms cited here probably are [Malay](LanguageTable#cldf:326) loans, and the antiquity of the etymon is thus very much in doubt.",
24778,*aduq,a,"exclamation of pain, distress, etc.","Also [Tagalog](LanguageTable#cldf:423) _aróy_ ‘pleased or complimentary exclamation’, [Hanunóo](LanguageTable#cldf:273) _adúg_ ‘ow! ouch!  An exclamation of sudden pain similar to _adíg_’, [Aklanon](LanguageTable#cldf:226) _adóy_ ‘oh darn! (expression of frustration)’, [Tiruray](LanguageTable#cldf:433) _adoy_ ‘exclamation of pain’, [Old Javanese](LanguageTable#cldf:660) _aḍu_, _aḍū_ ‘an exclamation of emotion’, [Tae'](LanguageTable#cldf:18947) _alu_ ‘exclamation of lamentation, regret, or disappointment’, [Kei](LanguageTable#cldf:298) _adō_ ‘exclamation of surprise or compassion’.",
30122,*a(n)duq,a,"long, of objects","Apparently a syncopated form of either &ast;_adaduq_ or &ast;_anaduq_, with possible contamination from &ast;_Sadu_ ‘much, many’.",
33511,*ága,a,early; punctual,,
33512,*agag,a,a sieve; to sift,,
24780,*agam,a,"consider, think","[Dempwolff (1934-38)](Source#cldf:dempwolff193438) also included [Tagalog](LanguageTable#cldf:423) _ágam-ágam_ ‘retrospection; misgiving, foreboding’, but the cognation of this form is very doubtful. Although [PWMP](LanguageTable#cldf:19094) &ast;_agam_ is only weakly supported it is difficult to explain the known reflexes through an appeal to borrowing, since a reflex has not been reported in [Malay](LanguageTable#cldf:326).",dempwolff193438
32866,*a(ŋ)gap,a,"think carefully about, consider","[Chaer (1976)](Source#cldf:chaer1976) gives [Jakarta Malay](LanguageTable#cldf:18430) _aŋgep_ ‘judge, estimate, calculate, think out’, which raises questions about the cognation of the [Aklanon](LanguageTable#cldf:226) form.",chaer1976
30596,*agas,a,a tree: Aporosa spp.,,
24781,*agem₁,a,"hold, grip","With root &ast;[-gem](cf.csv#cldf:Root-29888) ‘grasp, grip’.  [Hiligaynon](LanguageTable#cldf:623) _águm_ ‘obtain, attain, achieve, possess’ and related forms in other Philippine languages are assumed to derive from &ast;_agem_ ‘use, get use from’ ([Blust 1980](Source#cldf:blust1980)).",blust1980
24782,*agem₂,a,"use, get use from",,
30040,*agem₃,a,overcast,,
33480,*ágiw,a,soot,"Also [Itbayaten](LanguageTable#cldf:282) _ariw_ ‘soot’, which suggests a different medial consonant that cannot presently be reconstructed.  Possibly a [Tagalog](LanguageTable#cldf:423) loan in [Ilokano](LanguageTable#cldf:279).",
24783,*agu,a,"and, also","Also [Kambera](LanguageTable#cldf:678) _àŋu_ ‘and, with’.",
33407,*águm,a,to appropriate for oneself,,
33704,*agúm,a,to associate with someone,,
24785,*ai₁,a,"anaphoric or relative particle: there, previously mentioned place","Also [Lau](LanguageTable#cldf:313) _ʔai_ ‘which (relative pronoun)’, [Rotuman](LanguageTable#cldf:394) _e_ ‘adverb, therein, therefrom, because of it, etc.  Though generally a quasi-suffix, it is used occasionally in a more independent position’.  There is a history of discussion of this form in the literature, with the following milestones:",
24786,*ai₂,a,"interjection, exclamation of surprise, incredulity, etc.","Also [Itbayaten](LanguageTable#cldf:282) _ayyih_ ‘exclamation of satisfaction’, [Cebuano](LanguageTable#cldf:252) _aháy_ ‘exclamation expressing utter tiredness or frustration’, [Iban](LanguageTable#cldf:276) _aih_ ‘interjection of annoyance, mockery, etc.’, [Malay](LanguageTable#cldf:326) _ahi_ ‘interjection to invite attention’, [Nias](LanguageTable#cldf:361) _hai-hai_ ‘interjection: oh! oh!, [Manggarai](LanguageTable#cldf:816) _aé_ ‘exclamation’, [Nggela](LanguageTable#cldf:359) _ae_ ‘exclamation of surprise, or deprecatory’.",
30543,*ai₃,a,come,"Also Kajeli _mae_ ‘to come’, [Nauna](LanguageTable#cldf:355) _ko me-h_ ‘Come here! (= ‘you come’)’, [Roviana](LanguageTable#cldf:396) _mae_ ‘come; used frequently in conjunction with other words, but always implies motion towards speaker’.  [Dempwolff](Source#cldf:dempwolff193438) reconstructed only &ast;_maRi_ ‘hither’, and although he noted that [Sa'a](LanguageTable#cldf:18945) _mäi_ showed an unexplained loss of the medial consonant under his interpretation, he regarded the [Fijian](LanguageTable#cldf:266) and Polynesian forms as regular developments.  However, nearly all reflexes of this form in Central-Eastern Malayo-Polynesian languages reflect &ast;_um-ai_, suggesting that even where they are ambiguous for &ast;_um-ai_ or &ast;_um-aRi_ they probably reflect the first variant.  It is further noteworthy that both [Ibaloy](LanguageTable#cldf:19182) _ali_ (< &ast;_aRi_) and [Toqabaqita](LanguageTable#cldf:19197) _mai_ (< &ast;_um-ai_) signal distance in time from the present.",dempwolff193438
