ID,Name,Description,Category,Comment,Cognateset_ID,Dempwolff_Etymology
Root-29878,*-dem₂,"think, ponder, brood; remember",root,"Also [Casiguran Dumagat](LanguageTable#cldf:569) _ilemlem_ 'of a chicken, to sit on its eggs', [Kayan](LanguageTable#cldf:294) _selem_ 'to think within oneself'.",,
Root-29879,*-deR,stand on,root,,,
Root-29880,*-det,"packed in, compressed",root,[Bikol](LanguageTable#cldf:244) _badát_ should be &ast;&ast;_badot_. I assume that it shows assimilation of the last vowel to the first. The variant _budát_ 'full and unable to eat any more' is assumed to show metathesis of the vowels.,,
Root-29881,*-duk,"ladle, spoon",root,"Also [Ujir](LanguageTable#cldf:1094) _huluk_ 'spoon, ladle'.",,
Root-29882,*-duŋ,"shelter, protect; shade, shadow",root,[Maranao](LanguageTable#cldf:331) _podoŋ_ and [Fijian](LanguageTable#cldf:266) _pu(u)ru_ may belong to a single cognate set.,,
Root-29883,*-dut,"uproot, pluck, pull out",root,,,
Root-29884,*-gak₁,"proud, boast",root,,,
Root-29885,*-gak₂,raucous throaty sound,root,,,
Root-29886,*-gaŋ,dry near a fire,root,,,
Root-29887,*-gek,dull throaty sound,root,,,
Root-29888,*-gem,grasp in the fist,root,,,
Root-29889,*-geŋ,"hum, buzz",root,,,
Root-29890,*-ger,"shake, shiver, tremble",root,,,
Root-29891,*-get,angry,root,"Also [Balinese](LanguageTable#cldf:235) _ceket_ 'sensitive, short-tempered'.",,
Root-29892,*-gik (or *-giqik?),shrill throaty sound,root,,,
Root-29893,*-git,"anger, resentment",root,,,
Root-29894,*-guk,deep throaty sound,root,,,
Root-29895,*-guŋ (or *-guquŋ?),deep resounding sound ,root,,,
Root-29896,*-gur,"purr, rumble",root,,,
Root-29897,*-gut₁,gnaw,root,,,
Root-29898,*-gut₂,pull with a jerk,root,,,
Root-29899,*-huR,mix,root,,,
Root-29900,*-ka,split,root,,,
Root-29901,*-kab,"open, uncover",root,"Also [Kadazan Dusun](LanguageTable#cldf:287) _hiŋkib_ 'open slightly', [Aklanon](LanguageTable#cldf:226) _tukifb_ 'open up a little (as a window)'. [Tagalog](LanguageTable#cldf:423) _hikafb_ next to _higafb_ 'yawn' may show contamination from &ast;_-kab_.",,
Root-29902,*-kad,"prop, support",root,,,
Root-29903,*-kak₁,"cackle, laugh loudly",root,,,
Root-29905,*-kaŋ₁,"spread apart, as the legs",root,,,
Root-29906,*-kaŋ₂,"bark, croak",root,,,
Root-29907,*-kaŋ₃,"stiff, rigid; cramps",root,"[Malay](LanguageTable#cldf:326) _cekaŋ_, _jeŋkaŋ_ may contain a reflex of &ast;_-keŋ_ 'cramps, stiffening of the limbs'. Jakartanese (Betawi) _jeŋkaŋ_ 'prostrate; dead', however, unambiguously indicates &ast;_-kaŋ_.",,
Root-29908,*-kap,"feel, grope",root,,,
Root-29909,*-kaq₁,open forcibly,root,,,
Root-29910,*-kaq₂,split,root,"Also [Dairi-Pakpak Batak](LanguageTable#cldf:18147) _beka_ 'split in two', [Karo Batak](LanguageTable#cldf:18314), [Dairi-Pakpak Batak](LanguageTable#cldf:18147) _taka_ 'split, cleave' (both < &ast;_-ka_).",,
Root-29911,*-kas₁,begin,root,,,
Root-29912,*-kas₂,"loosen, undo, untie",root,,,
Root-29913,*-kas₃,"swift, agile, strong, energetic",root,,,
Root-29914,*-kaw,"high, tall",root,,,
Root-29915,*-keb₁,cover,root,,,
Root-29916,*-keb₂,face downward,root,,,
Root-29917,*-keC,"adhesive, sticky",root,,,
Root-29918,*-ked,"prop, support; staff",root,,,
Root-29919,*-kek,"shriek, creak, cluck, chuckle",root,,,
Root-29920,*-kel,"bend, curl",root,,,
Root-29921,*-kem₁,"enclose, cover; grasp",root,,,
Root-29922,*-kem₂,lie face downward,root,"Perhaps also [Karo Batak](LanguageTable#cldf:18314) _laŋkem_ 'lie on the stomach', [Kayan](LanguageTable#cldf:294) _tukem_ 'facing downwards', both of which are presently assigned to &ast;_-keb₂_.",,
Root-29923,*-keŋ₁,"cramps, stiffening of limbs",root,,,
Root-29924,*-keŋ₂,"curl, curve",root,,,
Root-29925,*-keŋ₃,"hollow, resounding sound",root,,,
Root-29926,*-keŋ₄,"shrink, shrivel",root,,,
Root-29927,*-kep₁,cover; fold over,root,,,
Root-29928,*-kep₂,"seize, grasp, embrace",root,,,
Root-29929,*-kes,"encircle, wrap firmly around",root,,,
Root-29930,*-ket,bite,root,,,
Root-29931,*-kik,shrill throaty sound,root,,,
Root-29932,*-kiŋ,clear ringing sound,root,,,
Root-29933,*-kiq,high-pitched vocal sound,root,,,
Root-29934,*-kis₁,"scratch, grate, scrape",root,,,
Root-29935,*-kis₂,"tie, bind, wrap around",root,,,
Root-29936,*-kit₁,to bite,root,[Manobo (Western Bukidnon)](LanguageTable#cldf:819) _ki?it_ 'bite off something with the front teeth' suggests a root &ast;_-kigit_.,,
Root-29937,*-kit₂,join along the length,root,,,
Root-29938,*-kub₁,cover,root,,,
Root-29939,*-kub₂,"surround, encircle",root,,,
Root-29940,*-kud,"cane, staff, walking stick",root,,,
Root-29941,*-kug₁,"curl, curve",root,,,
Root-29942,*-kug₂,"hit, beat on",root,,,
Root-29943,*-kuk₁,"bent, crooked",root,,,
Root-29944,*-kuk₂,"sound of a sob, cackle, etc.",root,,,
Root-29945,*-kul₁,"curl, bend",root,,,
Root-29946,*-kul₂,snail,root,,,
Root-29947,*-kum,close by folding,root,,,
Root-29948,*-kuŋ (or *-kuquŋ?),"bend, curve",root,,,
Root-29949,*-kuŋ₂,deep resounding sound,root,,,
Root-29950,*-kup,"enclose, cover",root,,,
Root-29951,*-ku(q),"bend, curve",root,,,
Root-29952,*-kur,coo; turtledove,root,,,
Root-29953,*-kus,wind around; bundle,root,,,
Root-29954,*-kut,"hunched over, bent",root,,,
Root-29955,*-laC,"shine, flickering or flashing light",root,,,
Root-29956,*-lak,shine,root,,,
Root-29957,*-laŋ₁,"glitter, flash",root,,,
Root-29958,*-laŋ₂,striped,root,,,
Root-29959,*-lap,"flash, sparkle",root,"Also [Casiguran Dumagat](LanguageTable#cldf:569) _ilép_ 'reflect (of something shiny)', [Ilokano](LanguageTable#cldf:279) _sírap_ 'dazzle'.",,
Root-29960,*-laq,split,root,"Also [Old Javanese](LanguageTable#cldf:660) _telā_ 'cleft, crevice, crack, narrow opening'.",,
Root-29961,*-lat₁,open the eyes wide,root,,,
Root-29962,*-lat₂,scar,root,Also [Isneg](LanguageTable#cldf:647) _inírat_ 'the scar left on a tree when a nest of bees has been removed from it'.,,
Root-29963,*-law,dazzling light,root,,,
Root-29964,*-leb,"sink, disappear",root,,,
Root-29965,*-lej,sink,root,,,
Root-29967,*-lem,sink,root,,,
Root-29966,*-lem₁,dark; obscure,root,,,
Root-29968,*-len,to swallow,root,,,
Root-29969,*-leŋ,reverberating sound,root,,,
Root-29970,*-lep,"sink, submerge",root,,,
Root-29971,*-let (or *-leget?),intervene; interspace,root,,,
Root-29972,*-liŋ₁,clear ringing sound,root,,,
Root-29973,*-liŋ₂,cross-eyed,root,,,
Root-29974,*-liŋ₃,"turn, revolve, turn around",root,,,
Root-29975,*-liq,"return, restore",root,,,
Root-29976,*-liR,flow,root,,,
Root-29977,*-lit₁,caulk; adhesive material,root,,,
Root-29978,*-lit₂,"wind, twist",root,,,
Root-29979,*-luk (or *-luquk?),"bend, curve",root,,,
Root-29980,*-luŋ₁,"bend, curve",root,Also cp. [Maranao](LanguageTable#cldf:331) _galoŋ_ 'nose ring'.,,
Root-29981,*-luŋ₂,"to shelter, shade",root,,,
Root-29982,*-luR,flow,root,,,
Root-29983,*-lus,slip off,root,,,
Root-29984,*-lut,twist around,root,,,
Root-29985,*-mek,"crush, pulverize; powder",root,,,
Root-29986,*-muk,"crush, pulverize; powder",root,"Also [Iban](LanguageTable#cldf:276) _rumoh_ 'shatter, (of food) crumble'.",,
Root-29987,*-muR,"gargle, rinse the mouth",root,,,
Root-29988,*-naŋ,"shine, sparkle",root,,,
Root-29989,*-naw₁,enclosed body of water,root,,,
Root-29990,*-naw₂,"melt, liquefy",root,,,
Root-29991,*-nek,"sound, of sleep",root,,,
Root-29992,*-nem₁,dark,root,,,
Root-29993,*-nem₂,"think, ponder, brood;-remember",root,,,
Root-29994,*-neR,hear,root,,,
Root-29995,*-niŋ,"clear, limpid",root,,,
Root-29996,*-nut,"husk, fiber",root,,,
Root-30003,*-NaR (or *-NagaR?),ray of light ,root,,,
Root-30004,*-Neb₁,"dive; sink, disappear under water",root,,,
Root-30005,*-Neb₂,door,root,,,
Root-30006,*-Neŋ,"stare, look fixedly",root,,,
Root-30007,*-NiC,"to skin, peel off",root,,,
Root-29997,*-ñam,"savory, tasty",root,,,
Root-29998,*-ñat,stretch,root,,,
Root-29999,*-ñaw,"wash, bathe, rinse",root,,,
Root-30130,*-ñeb,"dive, submerge",root,,,
Root-30000,*-ñej,"submerge, sink, drown",root,,,
Root-30001,*-ñep,"dive; sink, disappear under water",root,,,
Root-30002,*-ñut,stretchy; elastic,root,Also [Bikol](LanguageTable#cldf:244) _ignít_ 'stretch something'.,,
Root-30008,*-ŋa,"gape, open the mouth wide",root,Also [Cebuano](LanguageTable#cldf:252) _ŋaŋhá_ 'be open-mouthed with sudden surprise'.,,
Root-30009,*-ŋab,"gape, open, of the mouth",root,,,
Root-30010,*-ŋaC,"anger, irritation",root,,,
Root-30011,*-ŋag,look upward,root,"The final consonant in [Javanese](LanguageTable#cldf:285) _deŋak_, _ḍeŋak_ 'facing upward, craning the neck', _laŋak_ '(puppet with an) upturned gaze', and _iŋakuŋak_ 'crane the neck in an effort to see' can only reflect &ast;_k_. Since [Malay](LanguageTable#cldf:326) and [Sasak](LanguageTable#cldf:404) _-k_ reflect both &ast;_-g_ and &ast;_-k_ it is possible that the forms cited from these languages contain a root &ast;_-ŋak_, and are not to be compared directly with the Philippine material.",,
Root-30012,*-ŋak,"screech, howl",root,,,
Root-30013,*-ŋaŋ,amazed; gaping,root,,,
Root-30014,*-ŋap,"open, of the mouth; gaping",root,,,
Root-30015,*-ŋa(q),"gape, open the mouth wide",root,,,
Root-30016,*-ŋaq,"gape, open the mouth wide",root,,,
Root-30017,*-ŋar,"howl, shout, scream",root,,,
Root-30018,*-ŋaw,fly (insect),root,,,
Root-30019,*-ŋeC  (or *-ŋeqeC?),angry; gnash the teeth,root,,,
Root-30020,*-ŋek,"grunt, groan",root,,,
Root-30021,*-ŋel,deaf,root,,,
Root-30022,*-ŋeŋ,"buzz, hum",root,,,
Root-30023,*-ŋeR,hear; noise,root,,,
Root-30024,*-ŋiC,"anger, irritation",root,,,
Root-30025,*-ŋik,shrill throaty sound,root,,,
Root-30026,*-ŋiŋ,shrill buzz or hum; ring,root,,,
Root-30027,*-ŋis,bare the teeth,root,,,
Root-30028,*-ŋuC,anger; make a face,root,,,
Root-30029,*-ŋuk,deep throaty sound,root,,,
Root-30030,*-ŋuŋ,deep buzz or hum,root,,,
Root-30031,*-ŋur,low-pitched sound,root,"Also [PMP](LanguageTable#cldf:19081) &ast;_ŋurut_ 'growl, whine'",,
Root-30032,*-ŋus,snout,root,"[Proto-Micronesian](LanguageTable#cldf:19079) _&ast;faŋus-_ may be cognate with [Sundanese](LanguageTable#cldf:418) _baŋus_, but for the present I treat the resemblance as a product of chance convergence.",,
Root-30033,*-ŋut,"mumble, murmur, mutter",root,,,
Root-30034,*-paD,"flat, level",root,,,
Root-30035,*-pag,"strike, beat",root,"Also [Balinese](LanguageTable#cldf:235) _sepeg_ 'chop violently at, hew'.",,
Root-30037,*-pak₂,"break, crack, split",root,,,
Root-30038,*-pap,flattened,root,,,
Root-30039,*-paq,chew,root,,,
Root-30040,*-pas,tear or rip off,root,,,
Root-30036,*-pak₁ (or *-paqak?),"slap, clap",root,,,
Root-30041,*-peg,"hit, beat",root,,,
Root-30042,*-pek (or *-peqek?),"decay, crumble; sound of breaking; powder ",root,,,
Root-30043,*-pel,"plug, stopper; to cram",root,,,
Root-30044,*-peŋ,"plug up, dam; cover",root,,,
Root-30045,*-pes,"empty, deflated",root,,,
Root-30046,*-pet,"plugged, stopped, closed off",root,,,
Root-30047,*-pi,dream,root,,,
Root-30048,*-pid,"braid, wind together",root,,,
Root-30049,*-pik (or *-piqik?),"pat, light slap",root,,,
Root-30050,*-pil,"attach, join",root,,,
Root-30051,*-pi(q),fold,root,,,
Root-30052,*-pis₁,deflate; empty,root,,,
Root-30053,*-pis₂,"thin, of materials",root,,,
Root-30054,*-pit,"press, squeeze together; narrow",root,,,
Root-30055,*-puk₁,"throb, thud, clap, break",root,,,
Root-30056,*-puk₂,dust,root,,,
Root-30057,*-puk₃,"gather, flock together",root,,,
Root-30058,*-pul,"blunt, dull",root,,,
Root-30059,*-pun,"assemble, collect, gather",root,,,
Root-30060,*-puŋ₁,"bunch, cluster",root,,,
Root-30061,*-puŋ₂,to float,root,,,
Root-30062,*-puq,brittle,root,,,
Root-30063,*-pus₁,"end, finish",root,,,
Root-30064,*-pus₂,sound of escaping air,root,,,
Root-30065,*-put,puff (O),root,,,
Root-30066,*-riC₁,"sound of ripping, etc.",root,,,
Root-30067,*-rik,"spot, freckle",root,Also [Tiruray](LanguageTable#cldf:433) _barek_ 'the spots on an eel'.,,
Root-30068,*-ris₁,rustling sound,root,,,
Root-30069,*-ris₂,scratch a line,root,,,
Root-30070,*-ris₃,slice,root,,,
Root-30071,*-rit (or *-reclit?),scratch a line,root,[Gorontalo](LanguageTable#cldf:272) _pilito_ may contain a reflex of &ast;_-ris₂_ 'scratch a line'.,,
Root-30072,*-rud,"scratch, scrape",root,"[Malay](LanguageTable#cldf:326) _derut_ 'dull scraping sound', _garut_ 'scraping against one another', _gerut_ 'any dull scraping sound', _karut_ 'rasp', _sarut_ 'scraping up against; grating against' and the like appear to reflect prototypes with &ast;_-t_; [Bikol](LanguageTable#cldf:244) _súrod_ 'to harrow' reflects &ast;_sujud_.",,
Root-30073,*-rus₁,rustling sound,root,,,
Root-30074,*-rus₂,slip or slide off,root,,,
Root-30075,*-Raŋ,clanging sound,root,,,
Root-30076,*-Raq,red,root,,,
Root-30077,*-Raw,hoarse,root,,,
Root-30078,*-ReC,tighten; belt,root,,,
Root-30079,*-Reŋ,"groan, moan, snore",root,,,
Root-30080,*-Riŋ,to ring,root,,,
Root-30081,*-Ris,drip,root,,,
Root-30082,*-Ruŋ (or *-Ruquŋ?),"roar, rumble ",root,,,
Root-30083,*-sek₁,"cram, crowd",root,,,
Root-30084,*-sek₂,"insert, stick into a soft surface",root,"Also [PAn](LanguageTable#cldf:19072) &ast;_pacek_ drive in (a nail, post)', [Malay](LanguageTable#cldf:326) _cacak_ 'planting upright, embedding', with root candidate &ast;_-cek_. [PMP](LanguageTable#cldf:19081) &ast;_pusek_ is reconstructed erroneously as &ast;_pucek_ in [Blust (1986)](Source#cldf:blust1986).",,
Root-30085,*-sep,"sip, suck",root,,,
Root-30086,*-seq,wet; wash,root,,,
Root-30087,*-siŋ,spin around,root,,,
Root-30088,*-sir,hissing sound,root,,,
Root-30089,*-suD,"budge, move a bit",root,,,
Root-30090,*-suk (or *suquk?),"insert, penetrate, enter ",root,Also [PMP](LanguageTable#cldf:19081) &ast;_cukcuk_ 'skewer'.,,
Root-30091,*-tak₁,"mud; earth, ground",root,,,
Root-30092,*-tak₂ (or *-taqak?),"sound of cracking, splitting, knocking",root,,,
Root-30093,*-taŋ (or *-taqaŋ?),clanging sound ,root,,,
Root-30094,*-taq,"mud; earth, ground",root,,,
Root-30095,*-tas,"sever, rip, cut through; short cut",root,"[Cebuano](LanguageTable#cldf:252) _baktás_ may reflect earlier &ast;_bagtás_, with voice assimilation.",,
Root-30096,*-taw,float,root,,,
Root-30097,*-tay,suspension bridge,root,,,
Root-30098,*-teb,prune; graze,root,,,
Root-30099,*-teg,"hit, beat",root,,,
Root-30100,*-tek₁,clicking or light knocking sound,root,,,
Root-30101,*-tek₂,mud,root,"Also [Cebuano](LanguageTable#cldf:252) _hútik_ 'be all mud; for an area to turn to mud', [Maranao](LanguageTable#cldf:331) _potik_ 'mud; paddy'.",,
Root-30102,*-tem,dark color,root,,,
Root-30103,*-teŋ₁,"hum, drone",root,"Also [Ilokano](LanguageTable#cldf:279) _weŋweŋ_ 'a buzzing sound produced in the ear', _yeŋyeŋ_ 'bothered, confused, bewildered, flurried (with noise)'.",,
Root-30104,*-teŋ₂,"stare, look fixedly",root,Also [Bontok](LanguageTable#cldf:246) _téeŋ_ 'stare at'.,,
Root-30105,*-teŋ₃,stretch; taut,root,,,
Root-30106,*-teq,"sap, gummy secretion",root,,,
Root-30107,*-ter,"shiver, tremble",root,,,
Root-30108,*-tes,"tear, rip",root,,,
Root-30109,*-tik₁,spring up; flicking motion,root,,,
Root-30110,*-tik₂,ticking sound,root,,,
Root-30111,*-til,small protruding part,root,Also [Toba Batak](LanguageTable#cldf:427) _binsil_ 'clitoris'.,,
Root-30112,*-tiŋ,clear ringing sound,root,,,
Root-30113,*-tir,"tremble, quiver",root,,,
Root-30114,*-tug,"pound, hit",root,,,
Root-30115,*-tuk₁,"bend, curve",root,,,
Root-30116,*-tuk₂ (or *-tuquk?),"knock, pound, beat",root,,,
Root-30117,*-tuk₃,nod,root,Possibly identical to &ast;_-tuk₁_.,,
Root-30118,*-tuk₄,"top, summit, crown",root,,,
Root-30120,*-tuq,fall,root,,,
Root-30121,*-tus,break under tension,root,,,
Root-30122,*-tut,flatulence,root,,,
Root-30123,*-waŋ,wide-open space,root,,,
Root-30124,*-wit,hook shaped,root,"Due to the predictability of a transitional glide, _-wit_ following &ast;_u_ is written _-it_.",,
Root-30125,*-zak,"step, tread, trample",root,"[Toba Batak](LanguageTable#cldf:427) _irjak_ points to &ast;_-zak_, but [Javanese](LanguageTable#cldf:285) _pidak_ to &ast;_-Zak_.",,
Root-30126,*-zeg,stand erect,root,Also PMP &ast;_tezek_ 'stand erect; upright (posts)'.,,
Root-30127,*-zek,"step, tread, trample",root,,,
Root-30128,*-zer,stand erect,root,,,
Root-30129,*-zur,thrust out; extend,root,,,
Near-30724,,"nervous: anxious, nervous, restless",near,"[Malay](LanguageTable#cldf:326) _bəlisah_ points to a proto-form with &ast;_-q_, which [Cebuano](LanguageTable#cldf:252) _balísa_ supports a similar form with final vowel.  [Malay](LanguageTable#cldf:326) _gəlisah_ presumably is a secondary development from earlier _bəlisah_.",,
Near-30470,,ant,near,,,
Near-30031,,arrow,near,"Despite the striking similarity of these forms a reconstruction is impossible.  In both languages the last four segments could reflect either &ast;_iwal_ or &ast;_iwaR_. However, [Saisiyat](LanguageTable#cldf:400) _s-_ can reflect only [PAn](LanguageTable#cldf:19072) &ast;_C-_, which became [Kavalan](LanguageTable#cldf:293) _t-_, and [Kavalan](LanguageTable#cldf:293) _s-_ can reflect only [PAn](LanguageTable#cldf:19072) &ast;_s_ or &ast;_S_, which became [Saisiyat](LanguageTable#cldf:400) _h_ and _ʃ_ respectively, leaving the proto-form in limbo, despite the near certainty that it points to a phonetically similar form in [PAn](LanguageTable#cldf:19072).",,
Near-29908,,"backward: retreat, move backward",near,"[Manobo (Western Bukidnon)](LanguageTable#cldf:819) _endud_ reflects &ast;_endud_ or &ast;_enduD;_ [Malay](LanguageTable#cldf:326) _undur_ reflects &ast;_unduD_, &ast;_undur_, or &ast;_unduR_.",,
Near-29949,,banana,near,"The forms in northern Luzon reflect &ast;_baRat_, while [Tanjong](LanguageTable#cldf:1049) and [Kejaman](LanguageTable#cldf:19372) _balat_ can only come from &ast;_balat_, and the remaining forms from &ast;_balak_.",,
Near-30144,,bat sp.,near,,,
Near-30670,,bead (kind of...),near,"The [Isneg](LanguageTable#cldf:647) form points to &ast;_luRut_ or &ast;_lugut_, which the [Kayan](LanguageTable#cldf:294) form can reflect only &ast;_lukut_.",,
Near-30535,,bedbug,near,"According to [Wilkinson (1959)](Source#cldf:wilkinson1959) [Malay](LanguageTable#cldf:326) _basat_ is of Chinese origin, although this remains to be established.",,
Near-30269,,beetle: rhinoceros beetle,near,"[Osmond (2011:401)](Source#cldf:osmond2011) uses these and other non-corresponding forms to posit [POc](LanguageTable#cldf:19082) &ast;_tabuRuRu_ ‘kind of beetle’.  While there clearly is a historical connection between these forms, the sound correspondences fail to agree, and a reconstruction is thus impossible on the basis of known evidence.",,
Near-30262,,biting: hold by biting carry in the mouth,near,,,
Near-30324,,black,near,,,
Near-29970,,blacksmithing,near,,,
Near-30351,,blind,near,,,
Near-30712,,blind mole (animal),near,"The [Thao](LanguageTable#cldf:1062) and [Favorlang/Babuza](LanguageTable#cldf:19018) words are cognate, but point to a lower-order proto-language, Proto-Western Plains &ast;_mumu_.",,
Near-30375,,blue-black,near,,,
Near-30264,,body,near,"The last vowel of the Admiralty forms ([Wuvulu](LanguageTable#cldf:445), [Aua](LanguageTable#cldf:234), [Seimat](LanguageTable#cldf:19050)) and that of the Polynesian forms fails to agree, thus preventing a reconstruction.",,
Near-30036,,bone: collar bone (?),near,"[Mills (1975:813-814)](Source#cldf:mills1975) posited [Proto-South Sulawesi](LanguageTable#cldf:19092) &ast;_salaŋga_ ‘shoulder(?)’, with the voiced stop preserved in [Makassarese](LanguageTable#cldf:325), but changed in languages such as [Buginese](LanguageTable#cldf:239) through regular postnasal devoicing.  His gloss for both the [Buginese](LanguageTable#cldf:239) and [Makassarese](LanguageTable#cldf:325) forms is ‘breast bone of an animal’, but modern dictionaries give only ‘shoulder’ and verbs based on this noun.",,
Near-30477,,booming sound,near,,,
Near-29982,,borrow,near,,,
Near-30623,,"bovid, kind of wild bovid possibly Bos sundaicus",near,,,
Near-30282,,breast,near,,,
Near-30257,,"brink: brink, edge, shore",near,"Also [Cebuano](LanguageTable#cldf:252) _taŋpi_ ‘bank of a body of water; edge of a surface; nearby, close by’.",,
Near-29918,,bug: rice bug,near,"The final syllable is shared, but nothing else.",,
Near-30044,,busy,near,,,
Near-30467,,Canarium almond,near,"Based on a somewhat larger version of this comparison [Ross (2008:317)](Source#cldf:rosspawleyandosmond2008) posited [POc](LanguageTable#cldf:19082) &ast;_(q)alipa_, &ast;_lalipa_ ‘nut sp., possibly canarium almond’.  However, the comparison he presents shows no more regularity than the smaller one cited here, and his reconstruction cannot be justified by application of the Comparative Method.",,
Near-30080,,chattering: sound of a monkey chattering,near,,,
Near-30145,,chewed: chewed material,near,"[Mills (1981:68)](Source#cldf:mills1981) proposed ‘Proto-Indonesian’ &ast;_kuta()_ ‘to chew’, but the sound correspondences in the penult are irregular, and the similarity of these forms may be a product of chance.",,
Near-29892,,chicken: chicken louse,near,"A perfect comparison, except that Philippine reflexes point unambiguously to a trisyllable, while those in northern Sarawak point just as unambiguously to a disyllable, leaving no clear basis for a reconstruction one way or the other.",,
